"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312140";"80200";"MW00000";"NL01      ";"2020JJ00";"Land      ";"NL01                ";"    47.3";"    48.6";"     8.2";"    45.7"
"312143";"80200";"MW00000";"GM1680    ";"2020JJ00";"Gemeente  ";"GM1680              ";"    44.9";"    46.0";"     7.4";"    43.7"
"312146";"80200";"MW00000";"WK168000  ";"2020JJ00";"Wijk      ";"WK168000            ";"    47.7";"    47.5";"     7.9";"    45.1"
"312149";"80200";"MW00000";"BU16800000";"2020JJ00";"Buurt     ";"BU16800000          ";"    47.9";"    48.0";"     8.1";"    45.6"
"312152";"80200";"MW00000";"BU16800009";"2020JJ00";"Buurt     ";"BU16800009          ";"    44.2";"    36.7";"     4.1";"    34.7"
"312155";"80200";"MW00000";"WK168001  ";"2020JJ00";"Wijk      ";"WK168001            ";"    43.7";"    44.9";"     7.1";"    42.5"
"312158";"80200";"MW00000";"BU16800100";"2020JJ00";"Buurt     ";"BU16800100          ";"    43.9";"    45.3";"     7.1";"    42.9"
"312161";"80200";"MW00000";"BU16800109";"2020JJ00";"Buurt     ";"BU16800109          ";"    43.0";"    42.6";"     6.9";"    40.4"
"312164";"80200";"MW00000";"WK168002  ";"2020JJ00";"Wijk      ";"WK168002            ";"    43.2";"    46.2";"     7.5";"    42.8"
"312167";"80200";"MW00000";"BU16800200";"2020JJ00";"Buurt     ";"BU16800200          ";"    42.9";"    46.6";"     7.7";"    43.2"
"312170";"80200";"MW00000";"BU16800209";"2020JJ00";"Buurt     ";"BU16800209          ";"    45.2";"    43.4";"     5.5";"    40.1"
"312173";"80200";"MW00000";"WK168003  ";"2020JJ00";"Wijk      ";"WK168003            ";"    44.1";"    42.2";"     5.1";"    39.8"
"312176";"80200";"MW00000";"BU16800300";"2020JJ00";"Buurt     ";"BU16800300          ";"    44.3";"    42.4";"     5.1";"    40.0"
"312179";"80200";"MW00000";"BU16800309";"2020JJ00";"Buurt     ";"BU16800309          ";"       .";"       .";"       .";"       ."
"312182";"80200";"MW00000";"WK168004  ";"2020JJ00";"Wijk      ";"WK168004            ";"    40.4";"    41.3";"     5.4";"    39.0"
"312185";"80200";"MW00000";"BU16800400";"2020JJ00";"Buurt     ";"BU16800400          ";"    40.7";"    41.9";"     5.6";"    39.6"
"312188";"80200";"MW00000";"BU16800409";"2020JJ00";"Buurt     ";"BU16800409          ";"       .";"       .";"       .";"       ."
"312191";"80200";"MW00000";"WK168005  ";"2020JJ00";"Wijk      ";"WK168005            ";"    44.2";"    41.1";"     5.3";"    38.4"
"312194";"80200";"MW00000";"BU16800500";"2020JJ00";"Buurt     ";"BU16800500          ";"    43.9";"    41.1";"     5.3";"    38.5"
"312197";"80200";"MW00000";"BU16800509";"2020JJ00";"Buurt     ";"BU16800509          ";"    46.6";"    41.0";"     5.8";"    37.4"
"312200";"80200";"MW00000";"WK168006  ";"2020JJ00";"Wijk      ";"WK168006            ";"    43.1";"    42.3";"     7.6";"    40.6"
"312203";"80200";"MW00000";"BU16800600";"2020JJ00";"Buurt     ";"BU16800600          ";"    43.2";"    42.6";"     7.9";"    40.9"
"312206";"80200";"MW00000";"BU16800609";"2020JJ00";"Buurt     ";"BU16800609          ";"       .";"       .";"       .";"       ."
"312209";"80200";"MW00000";"WK168007  ";"2020JJ00";"Wijk      ";"WK168007            ";"    43.1";"    42.6";"     6.1";"    40.5"
"312212";"80200";"MW00000";"BU16800700";"2020JJ00";"Buurt     ";"BU16800700          ";"    43.1";"    42.6";"     6.1";"    40.5"
"312215";"80200";"MW00000";"BU16800709";"2020JJ00";"Buurt     ";"BU16800709          ";"       .";"       .";"       .";"       ."
"312218";"80200";"MW00000";"WK168008  ";"2020JJ00";"Wijk      ";"WK168008            ";"    46.0";"    46.2";"     4.6";"    44.3"
"312221";"80200";"MW00000";"BU16800800";"2020JJ00";"Buurt     ";"BU16800800          ";"    46.0";"    46.2";"     4.6";"    44.3"
"312224";"80200";"MW00000";"BU16800809";"2020JJ00";"Buurt     ";"BU16800809          ";"       .";"       .";"       .";"       ."
"312227";"80200";"MW00000";"WK168009  ";"2020JJ00";"Wijk      ";"WK168009            ";"    41.5";"    40.2";"     4.8";"    38.4"
"312230";"80200";"MW00000";"BU16800900";"2020JJ00";"Buurt     ";"BU16800900          ";"    41.5";"    40.2";"     4.8";"    38.4"
"312233";"80200";"MW00000";"BU16800909";"2020JJ00";"Buurt     ";"BU16800909          ";"       .";"       .";"       .";"       ."
"312236";"80200";"MW00000";"WK168011  ";"2020JJ00";"Wijk      ";"WK168011            ";"    45.2";"    45.2";"     7.9";"    42.5"
"312239";"80200";"MW00000";"BU16801100";"2020JJ00";"Buurt     ";"BU16801100          ";"    45.2";"    45.2";"     7.9";"    42.5"
"312242";"80200";"MW00000";"BU16801109";"2020JJ00";"Buurt     ";"BU16801109          ";"       .";"       .";"       .";"       ."
"312245";"80200";"MW00000";"WK168012  ";"2020JJ00";"Wijk      ";"WK168012            ";"    42.8";"    41.8";"     6.3";"    39.4"
"312248";"80200";"MW00000";"BU16801200";"2020JJ00";"Buurt     ";"BU16801200          ";"    42.8";"    41.8";"     6.3";"    39.4"
"312251";"80200";"MW00000";"BU16801209";"2020JJ00";"Buurt     ";"BU16801209          ";"       .";"       .";"       .";"       ."
"312254";"80200";"MW00000";"WK168013  ";"2020JJ00";"Wijk      ";"WK168013            ";"    45.8";"    47.0";"     6.2";"    45.5"
"312257";"80200";"MW00000";"BU16801300";"2020JJ00";"Buurt     ";"BU16801300          ";"    47.8";"    49.4";"     6.6";"    47.9"
"312260";"80200";"MW00000";"BU16801309";"2020JJ00";"Buurt     ";"BU16801309          ";"       .";"       .";"       .";"       ."
"312263";"80200";"MW00000";"WK168014  ";"2020JJ00";"Wijk      ";"WK168014            ";"    45.1";"    47.0";"     7.5";"    44.4"
"312266";"80200";"MW00000";"BU16801400";"2020JJ00";"Buurt     ";"BU16801400          ";"    45.6";"    47.6";"     7.7";"    45.2"
"312269";"80200";"MW00000";"BU16801401";"2020JJ00";"Buurt     ";"BU16801401          ";"    42.4";"    44.1";"     5.7";"    39.1"
"312272";"80200";"MW00000";"BU16801409";"2020JJ00";"Buurt     ";"BU16801409          ";"    43.8";"    44.3";"     7.5";"    42.2"
"312275";"80200";"MW00000";"WK168015  ";"2020JJ00";"Wijk      ";"WK168015            ";"    45.7";"    47.6";"     9.6";"    45.5"
"312278";"80200";"MW00000";"BU16801500";"2020JJ00";"Buurt     ";"BU16801500          ";"    45.7";"    47.7";"     9.6";"    45.5"
"312281";"80200";"MW00000";"BU16801501";"2020JJ00";"Buurt     ";"BU16801501          ";"       .";"       .";"       .";"       ."
"312284";"80200";"MW00000";"BU16801509";"2020JJ00";"Buurt     ";"BU16801509          ";"       .";"       .";"       .";"       ."
"312287";"80200";"MW00000";"WK168016  ";"2020JJ00";"Wijk      ";"WK168016            ";"    44.3";"    44.3";"     7.1";"    41.6"
