"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Overgewicht_9";"Roker_11";"VoldoetAanAlcoholRichtlijn_12";"ErnstigZeerErnstigEenzaam_28"
"432074";"80200";"MW00000";"NL01      ";"2020JJ00";"    59.0";"    10.0";"    54.5";"    10.4"
"432078";"80200";"MW00000";"GM1680    ";"2020JJ00";"    59.0";"     8.4";"    55.5";"     8.2"
"432082";"80200";"MW00000";"WK168000  ";"2020JJ00";"    58.9";"     8.0";"    54.5";"     7.9"
"432086";"80200";"MW00000";"BU16800000";"2020JJ00";"    59.4";"     8.1";"    54.6";"     8.1"
"432090";"80200";"MW00000";"BU16800009";"2020JJ00";"    49.8";"     7.1";"    51.3";"     5.1"
"432094";"80200";"MW00000";"WK168001  ";"2020JJ00";"    59.6";"     8.7";"    52.9";"     7.8"
"432098";"80200";"MW00000";"BU16800100";"2020JJ00";"    60.3";"     8.9";"    53.5";"     7.8"
"432102";"80200";"MW00000";"BU16800109";"2020JJ00";"    56.4";"     8.1";"    50.0";"     7.7"
"432106";"80200";"MW00000";"WK168002  ";"2020JJ00";"    57.7";"     8.3";"    53.4";"     6.7"
"432110";"80200";"MW00000";"BU16800200";"2020JJ00";"    58.0";"     8.2";"    53.4";"     6.6"
"432114";"80200";"MW00000";"BU16800209";"2020JJ00";"    55.5";"     8.9";"    53.2";"     7.1"
"432118";"80200";"MW00000";"WK168003  ";"2020JJ00";"    50.5";"     8.0";"    51.4";"     6.9"
"432122";"80200";"MW00000";"BU16800300";"2020JJ00";"    50.5";"     7.9";"    51.7";"     6.8"
"432126";"80200";"MW00000";"BU16800309";"2020JJ00";"       .";"       .";"       .";"       ."
"432130";"80200";"MW00000";"WK168004  ";"2020JJ00";"    54.6";"     7.7";"    50.4";"     6.5"
"432134";"80200";"MW00000";"BU16800400";"2020JJ00";"    54.2";"     7.5";"    51.2";"     6.7"
"432138";"80200";"MW00000";"BU16800409";"2020JJ00";"       .";"       .";"       .";"       ."
"432142";"80200";"MW00000";"WK168005  ";"2020JJ00";"    49.5";"     8.0";"    49.8";"     7.3"
"432146";"80200";"MW00000";"BU16800500";"2020JJ00";"    49.3";"     7.6";"    49.2";"     7.2"
"432150";"80200";"MW00000";"BU16800509";"2020JJ00";"    51.6";"    11.4";"    55.7";"     7.5"
"432154";"80200";"MW00000";"WK168006  ";"2020JJ00";"    60.2";"     8.9";"    53.4";"     7.3"
"432158";"80200";"MW00000";"BU16800600";"2020JJ00";"    60.1";"     8.8";"    54.0";"     7.4"
"432162";"80200";"MW00000";"BU16800609";"2020JJ00";"       .";"       .";"       .";"       ."
