buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buu,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaa,percentage_personen_15_tot_25_ja,percentage_personen_25_tot_45_ja,percentage_personen_45_tot_65_ja,percentage_personen_65_jaar_en_o,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboorte_totaal,geboortes_per_1000_inwoners,sterfte_totaal,sterfte_relatief,aantal_huishoudens,percentage_eenpersoonshuishouden,percentage_huishoudens_zonder_ki,percentage_huishoudens_met_kinde,gemiddelde_huishoudsgrootte,percentage_westerse_migratieacht,percentage_niet_westerse_migrati,percentage_uit_marokko,percentage_uit_nederlandse_antil,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersem,aantal_bedrijven_landbouw_bosbou,aantal_bedrijven_nijverheid_ener,aantal_bedrijven_handel_en_horec,aantal_bedrijven_vervoer_informa,aantal_bedrijven_financieel_onro,aantal_bedrijven_zakelijke_diens,aantal_bedrijven_overheid_onderw,aantal_bedrijven_cultuur_recreat,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_wonin,perc_huurwoningen_in_bezit_overi,percentage_woningen_met_eigendom,percentage_bouwjaarklasse_tot_20,percentage_bouwjaarklasse_vanaf_,percentage_leegstand_woningen,gemiddeld_gasverbruik_totaal,gemiddeld_gasverbruik_appartemen,gemiddeld_gasverbruik_tussenwoni,gemiddeld_gasverbruik_hoekwoning,gemiddeld_gasverbruik_2_onder_1_,gemiddeld_gasverbruik_vrijstaand,gemiddeld_gasverbruik_huurwoning,gemiddeld_gasverbruikkoopwoning,gemiddeld_elektriciteitsverbruik,v72,v73,v74,gem_elektriciteitsverbruik_2_ond,gem_elektriciteitsverbruik_vrijs,v77,v78,opleidingsniveau_hoog,opleidingsniveau_middelbaar,opleidingsniveau_laag,netto_arbeidsparticipatie,percentage_werknemers,percentage_zelfstandigen,aantal_inkomensontvangers,gemiddeld_inkomen_per_inkomenson,gemiddeld_inkomen_per_inwoner,percentage_personen_met_laag_ink,percentage_personen_met_hoog_ink,percentage_huishoudens_met_laag_,percentage_huishoudens_met_hoog_,percentage_huishoudens_onder_of_,percentage_huishoudens_met_lage_,aantal_personen_met_een_ao_uitke,aantal_personen_met_een_ww_uitke,aantal_personen_met_een_alg_bijs,aantal_personen_met_een_aow_uitk,gemiddeld_gestandaardiseerd_inko,huishoudens_tot_110_percent_van_,huishoudens_tot_120_percent_van_,percentage_HH120,mediaan_vermogen_van_particulier,aantal_jongeren_met_jeugdzorg_in,percentage_jongeren_met_jeugdzor,aantal_wmo_clienten,aantal_wmo_clienten_per_1000_inw,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandst,aantal_personenautos_met_overige,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,huisartsenpraktijk_gemiddelde_af,huisartsenpraktijk_gemiddeld_aan,v117,v118,huisartsenpost_gemiddelde_afstan,apotheek_gemiddelde_afstand_in_k,ziekenhuis_incl_buitenpoliklinie,ziekenhuis_incl_buitenpoli_gem_a,v123,v124,ziekenhuis_excl_buitenpoliklinie,ziekenhuis_excl_buitenpoli_gem_a,v127,v128,grote_supermarkt_gemiddelde_afst,grote_supermarkt_gemiddeld_aanta,v131,v132,winkels_ov_dagelijkse_levensm_ge,winkels_ov_dagel_levensm_gem_aan,v135,v136,warenhuis_gemiddelde_afstand_in_,warenhuis_gemiddeld_aantal_binne,v139,v140,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_k,cafe_gemiddeld_aantal_binnen_3_k,cafe_gemiddeld_aantal_binnen_5_k,cafetaria_gemiddelde_afstand_in_,cafetaria_gemiddeld_aantal_binne,v147,v148,restaurant_gemiddelde_afstand_in,restaurant_gemiddeld_aantal_binn,v151,v152,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_,hotel_gemiddeld_aantal_binnen_10,hotel_gemiddeld_aantal_binnen_20,kinderdagverblijf_gemiddelde_afs,kinderdagverblijf_gemiddeld_aant,v159,v160,buitenschoolse_opvang_gem_afstan,buitenschoolse_opvang_gemiddeld_,v163,v164,basisonderwijs_gemiddelde_afstan,basisonderwijs_gemiddeld_aantal_,v167,v168,voortgezet_onderwijs_gem_afstand,voortgezet_onderwijs_gemiddeld_a,v171,v172,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_k,vmbo_gemiddeld_aantal_binnen_5_k,vmbo_gemiddeld_aantal_binnen_10_,havo_vwo_gemiddelde_afstand_in_k,havo_vwo_gemiddeld_aantal_binnen,v179,v180,brandweerkazerne_gemiddelde_afst,oprit_hoofdverkeersweg_gemiddeld,treinstation_gemiddelde_afstand_,overstapstation_gemiddelde_afsta,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_,bibliotheek_gemiddelde_afstand_i,poppodium_gemiddelde_afstand_in_,bioscoop_gemiddelde_afstand_in_k,bioscoop_gemiddeld_aantal_binnen,v191,v192,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_,attractiepark_gemiddelde_afstand,attractiepark_gemiddeld_aantal_b,v197,v198,theater_gemiddelde_afstand_in_km,theater_gemiddeld_aantal_binnen_,v201,v202,gemiddelde_afstand_tot_museum,gemiddeld_aantal_musea_binnen_5_,gemiddeld_aantal_musea_binnen_10,gemiddeld_aantal_musea_binnen_20,jrstatcode,jaar,leefbarometer,afw,fysiekeomgeving,overlastonveiligheid,socialesamenhang,voorzieningen,v215,ervarengezondheidgoedzeergoed_4,hoogrisicoopangstofdepressie_25,heelveelstressinafgelopen4weken_,eenofmeerlangdurigeaandoeningen_,beperktvanwegegezondheid_17,ernstigbeperktvanwegegezondheid_,langdurigeziekteenbeperkt_19,overgewicht_9,roker_11,voldoetaanalcoholrichtlijn_12,ernstigzeerernstigeenzaam_28,bevolkingsdichtheid,percentage_65plus,percentage_1perHH,percentage_koop,netto_arbeidspa,percentage_niet_w,percentage_migr_w,percentage_hoogOpg,percentage_bijst,percentage_ww,percentage_ao,percentage_mannen,risk_depression,high_stress,perceived_health,chronic_disease,stedelijkheid_adressen_per_km2_n,bevolkingsdichtheid_n,percentage_mannen_n,percentage_gehuwd_n,percentage_65plus_n,geboortes_per_1000_inwoners_n,percentage_1perHH_n,gemiddelde_woningwaarde_n,percentage_hoogOpg_n,percentage_koop_n,percentage_bijst_n,percentage_ww_n,percentage_ao_n,netto_arbeidspa_n,percentage_HH120_n,percentage_niet_w_n,percentage_migr_w_n,missing_indicator,residuals_dep,z_scores_dep,residuals_stress,z_scores_stress,residuals_health,z_scores_health,residuals_chronic,z_scores_chronic,orig_order,z_scores_health_id,z_scores_dep_id,z_scores_stress_id,z_scores_chronic_id
BU00500006,Zuidlob,WK005000,GM0050,Zeewolde,1,NEE,3896,3,195,5,14,1300,810,490,5,23,42,20,10,74,20,3,2,5,5,0,0,960,82,11,7,"1,4",65,1,0,0,0,0,1,85,10,25,5,10,10,5,10,165,104,722,94,6,84,75,25,0,25,0,79,21,16,2040,1450,,,,2070,1830,2100,4300,2710,,,,4390,3560,4530,210,540,270,79,82,18,1100,,,55,7,84,6,6,10,20,10,0,120,"-99999999,0","7,9","11,7",11.7,"0,0",10,"3,8",25,19,375,"0,4",4,15,225,150,9693,9512,181,"7,4","0,0","0,0","0,1","17,0","7,5","14,5","0,0","0,2","3,7","17,0","0,0","0,0","1,0","7,0","0,0","0,0","0,1","6,2","0,0","0,0","0,8","8,4","0,0","0,8","7,2","8,0","0,0","0,0","0,0","5,7","0,0","0,0","0,8","3,3","0,0","0,7","1,1","7,9","0,0","1,0","17,6","6,7","0,0","0,0","0,2","6,6","0,0","0,0","0,2","6,8","0,0","0,0","0,2","8,0","0,0","0,0","1,5","8,0","0,0","0,0","0,8","14,7","0,0","0,0","0,1","7,1","1,9","14,9","21,4","8,1","24,1","8,4","16,2","15,5","0,0","0,0","2,7","17,5","8,1","14,4","0,0","3,5","35,9","15,9","0,0","0,0","4,3","13,9","0,0","0,1","5,6",2020BU00500006,2020,"3,96058034968626","-1,41684501457422e-01","-1,94847638060012e-01","1,13591594186987e-01","1,32126302199289e-01","-2,55561629136758e-01","6,30068693530720e-02",    71.7,     2.3,     5.3,45.5,46.599998,5.5,42.299999,    63.1,    11.5,"50,6","8,2",14,10,82,75,79,1,65,16.153847,0,.76923078,1.5384616,62.307693,2.3,5.3,71.7,5.5,1.6973211,-1.2808875,6.330451,-2.0847547,-1.1868176,-1.115667,3.333586,3.9636812,-.63985115,.75288421,-1.0049688,-1.2695004,-1.3087113,1.4600267,-.078680396,-.8996188,9.326005,0,-2.5711353,-2.6360824,-2.3180265,-2.5936646,8.7998505,2.6993539,-3.2662673,-2.9777985,102,21,14,23,8
BU00801004,Grote Kerkbuurt,WK008010,GM0080,Leeuwarden,1,NEE,8911,1,4652,1,8891,1220,650,565,4,26,40,18,12,76,13,8,2,10,7,10,6,910,74,19,7,"1,3",13,12,0,2,1,0,8,0,15,50,20,10,50,30,45,225,843,134,22,78,92,24,74,36,39,1,94,6,8,950,800,1390,1490,1830,2420,860,1240,1840,1640,2410,2380,2990,3790,1690,2320,400,550,190,62,86,14,1100,,,51,12,73,6,15,18,60,20,110,130,"-99999999,0","22,0","25,7",25.7,"0,2",10,"3,7",90,74,350,"0,4",2553,30,280,70,14,14,1,"0,6","1,2","21,1","24,0","2,4","0,3","2,4","1,0","1,0","1,0","2,4","1,0","1,0","1,0","0,3","4,7","24,7","32,0","0,2","37,7","83,2","92,0","0,6","3,0","4,0","8,0","0,1","51,8","61,3","63,0","0,2","39,7","70,4","78,9","0,1","98,0","127,1","132,0","0,2","11,0","14,1","29,7","0,2","2,7","33,1","50,0","0,2","2,0","26,9","45,0","0,5","1,6","19,9","28,0","0,3","14,3","16,0","16,7","1,6","9,5","10,0","10,0","0,3","7,9","8,0","8,7","1,7","2,5","1,3","1,3","1,4","3,0","0,6","0,9","0,5","2,0","2,0","2,0","10,0","0,3","1,7","3,0","8,0","17,0","0,9","2,0","2,0","3,0","0,3","6,0","6,0","14,0",2020BU00801004,2020,"3,98568405041807","-1,16580800725613e-01","3,86134129996410e-02","-1,70195810029620e-01","-4,32502643078187e-02","1,06719739591073e-01","-4,84678789788881e-02",    74.4,     2.5,     7.2,46.200001,42.599998,5.5999999,41.5,    46.9,    11.7,"46,7","8,2",8891,12,74,24,62,12,13,32.786884,9.0163937,1.6393442,4.9180326,53.27869,2.5,7.2,74.40000000000001,5.5999999,-1.2599037,.76982415,1.8512955,-2.8677337,-.94255763,-.641765,2.7489822,-1.2170358,.80283445,-1.6805215,2.7887828,.47629526,.32552898,-.90049362,1.7088983,-.063217551,.42146304,0,-2.3297064,-2.388555,-.88652581,-.99194318,10.622625,3.2584901,-3.5562029,-3.2421277,133,11,36,665,5
BU02000605,Groot Zonnehoeve,WK020006,GM0200,Apeldoorn,1,NEE,7325,1,1583,2,1509,1770,940,830,20,12,26,24,17,67,29,4,0,25,14,20,13,385,9,24,67,"3,2",7,5,1,0,1,2,2,0,10,20,15,20,35,50,10,155,505,410,89,11,94,65,35,4,31,0,9,91,6,1310,1050,1230,1230,1480,1700,1400,1220,5140,3570,4950,5210,5750,5690,4400,5510,620,460,400,82,87,13,800,,,27,38,7,55,1,2,320,20,0,280,"-99999999,0","1,8","2,1",2.1,"151,4",45,"8,2",430,243,505,"1,3",431,40,410,95,117,117,0,"1,4","0,1","6,1","17,4","6,9","1,7","6,1","0,0","2,0","4,0","6,9","0,0","1,0","2,0","0,7","0,8","9,6","31,7","1,5","0,0","21,8","86,5","1,9","3,7","4,2","11,0","1,2","0,2","3,8","54,1","0,7","1,1","16,6","85,1","1,3","0,1","10,6","103,3","2,5","3,8","19,4","44,9","1,5","0,0","31,5","61,8","1,5","0,0","24,3","46,8","1,5","0,0","18,3","40,2","2,2","2,1","9,7","15,0","2,2","2,1","7,7","12,0","2,2","1,9","4,1","7,0","2,5","2,1","0,7","3,8","2,5","17,4","1,9","4,2","4,2","1,0","1,0","5,0","2,6","1,6","4,3","4,0","6,0","32,2","4,2","1,7","2,0","6,0","4,2","1,0","2,0","13,3",2020BU02000605,2020,"4,32797458785881","2,25709736715121e-01","1,27323649768451e-02","7,84614891190481e-02","9,45398581855160e-02","-1,79378887970710e-02","5,79139132307823e-02",    81.5,     1.8,     5.3,44,37.400002,4.0999999,35.599998,    53.1,     7.4,"44,5","6,6",1509,17,9,65,82,5,7,35.028248,0,1.1299435,18.079096,53.107346,1.8,5.3,81.5,4.0999999,-.52059752,-.93552148,1.7662938,-1.0780674,-.33190754,1.0168918,-2.0009246,1.2147293,.99724174,.27574584,-1.0049688,-.54576641,6.6897507,1.8765892,-1.3044487,-.59547287,-.60598415,0,-1.7844003,-1.8294744,-.8516295,-.95289731,12.053656,3.6974585,-4.4783344,-4.082819,710,5,114,713,1
BU03440121,Lombok-Oost,WK034401,GM0344,Utrecht,1,NEE,3531,1,4691,1,17630,2285,1110,1180,6,19,54,13,8,75,18,4,2,25,11,10,3,1475,63,25,12,"1,6",14,29,10,1,2,9,7,0,20,85,40,10,80,45,85,365,1112,267,33,67,94,28,70,29,41,1,82,18,6,880,790,1050,1080,,,900,830,1990,1850,2250,2490,,,2020,1940,1270,550,230,74,88,12,2000,,,40,22,57,13,9,9,90,30,70,180,"-99999999,0","12,1","14,4",14.4,"2,7",30,"8,0",110,48,460,"0,3",3561,50,370,95,13,13,0,"0,5","1,5","18,6","47,6","3,7","0,5","3,6","3,0","7,0","11,0","3,6","2,0","6,0","9,0","0,2","8,4","43,1","77,0","0,1","46,1","198,9","299,6","0,8","9,0","17,0","29,4","0,2","6,6","101,6","113,4","0,1","33,8","247,0","321,8","0,1","41,0","392,5","457,5","0,4","31,0","37,0","69,4","0,4","9,9","93,8","176,2","0,4","6,4","60,5","128,3","0,4","3,2","31,8","83,1","0,6","8,6","19,0","30,3","1,0","4,6","12,0","21,5","0,7","6,0","11,0","18,2","2,3","2,7","1,2","1,2","2,2","4,9","1,7","1,3","1,1","7,0","8,0","13,0","2,0","0,3","2,5","5,0","10,0","52,1","1,0","8,0","10,0","20,0","1,3","10,0","14,8","27,0",2020BU03440121,2020,"4,03156552275573","-7,06993283879538e-02","-7,03833179260508e-02","-2,03938292854581e-01","-7,55424424965629e-02","2,86394348415277e-01","-7,22962352603668e-03",    43.6,    12.2,    14.5,57.099998,59.700001,14.5,56.5,    68.0,    14.0,"79,0","17,0",17630,8,63,28,74,29,14,55.579868,3.0634573,1.3129103,3.938731,48.577679,12.2,14.5,43.6,14.5,-1.2599037,2.7886558,-.48080739,-2.3084629,-1.4310776,.30603889,1.9451518,-.045206938,2.7798102,-1.4896662,.28401619,-.17866173,-.14802647,.76575607,.26606694,1.2294025,.59270424,0,6.2958879,6.4549227,4.8973932,5.4797454,-18.526642,-5.6830468,5.4121742,4.9341841,1400,5226,5221,5220,5225
BU03440932,Grauwaart,WK034409,GM0344,Utrecht,1,NEE,3541,1,2279,2,6637,1735,855,885,34,6,44,13,3,63,32,4,0,45,25,5,2,610,23,18,59,"2,8",10,33,13,1,5,6,8,0,10,10,25,5,55,25,20,155,598,393,62,38,99,45,55,40,15,0,0,100,1,,,,,,,,,2570,2040,2850,3030,,,2170,3050,600,340,180,79,86,14,1100,,,26,38,26,41,7,8,60,20,30,40,"-99999999,0","9,3","10,6",10.6,"46,3",90,"13,1",60,35,490,"0,8",1872,25,355,135,29,26,3,"0,7","1,0","6,0","25,1","1,2","0,5","1,2","1,0","4,8","11,0","1,2","1,0","3,8","9,0","0,6","1,0","9,0","46,0","0,6","5,0","20,3","176,2","0,5","9,2","14,0","28,1","1,7","0,0","6,6","66,0","0,4","12,6","28,3","211,9","0,5","11,6","37,6","296,6","3,3","17,3","34,9","65,4","0,3","5,2","36,6","106,1","0,5","2,6","34,1","88,6","0,5","3,5","18,7","50,7","0,5","3,2","10,3","24,1","0,5","3,0","6,3","17,1","0,5","2,0","7,2","14,1","0,6","2,0","0,8","4,4","3,0","5,7","0,7","4,5","1,2","5,7","8,0","11,5","5,3","1,5","1,2","4,0","10,0","60,0","2,1","5,7","9,0","16,9","4,5","2,5","14,0","26,6",2020BU03440932,2020,"4,13437927840431","3,21144272606207e-02","-4,50540019583840e-02","-4,54189026409314e-02","-4,08991452226754e-03","1,24184313764610e-01","2,49293261759390e-03",    58.0,     8.3,     8.6,55.599998,53.099998,13.8,50.5,    68.3,    11.2,"64,9","12,2",6637,3,23,45,79,33,10,34.582134,1.7291067,1.1527377,3.4582133,49.279537,8.300000000000001,8.6,58,13.8,-.52059752,.24911852,-.1326257,-.74250501,-2.0417278,3.6233525,-.97786784,1.0649467,.95854753,-.67853093,-.2774272,-.50003201,-.38038769,1.4600267,-.21913302,1.5335485,-.092260562,0,3.2862933,3.3693054,.58020413,.64919657,-7.4952636,-2.2991719,5.4697742,4.9866972,1473,5110,5185,4149,5226
BU03633901,Laan van Spartaan,WK036339,GM0363,Amsterdam,1,NEE,1061,1,5796,1,14138,2260,1110,1155,18,20,44,12,7,73,20,5,2,25,11,10,4,1270,61,18,22,"1,7",19,46,17,2,6,7,14,0,10,20,35,10,55,30,35,200,1217,332,10,90,97,15,85,51,34,0,0,100,3,,,,,,,,,2000,1880,2990,,,,1910,2510,1040,420,280,60,85,15,1500,,,42,24,56,16,14,14,70,40,80,140,"-99999999,0","17,5","21,0",21,"1,7",45,"6,2",200,88,410,"0,3",2559,25,320,90,17,16,1,"0,8","2,5","34,6","91,2","0,6","0,5","0,6","2,9","6,0","15,2","0,6","1,9","5,0","11,0","0,4","1,4","45,4","107,3","0,7","5,3","216,8","730,4","1,8","12,3","23,9","49,0","0,8","5,6","107,3","515,6","0,3","6,0","168,1","711,9","0,3","5,7","247,2","1272,0","0,5","284,2","440,9","519,3","0,5","4,0","110,3","244,7","0,5","3,7","55,5","122,1","0,9","1,5","38,9","81,5","0,8","7,2","23,8","72,3","0,8","6,2","17,3","50,7","0,8","4,2","16,3","44,7","2,9","0,4","2,6","2,9","0,9","9,6","1,3","4,0","3,1","8,8","14,0","17,0","3,2","1,3","1,1","4,0","14,2","58,0","1,8","25,6","49,0","63,0","1,2","25,9","50,0","70,0",2020BU03633901,2020,"4,13807477817385","3,58099270301674e-02","-3,57981471217229e-02","-1,16857530056654e-01","-3,14353982248904e-02","3,28626150840603e-01","-1,08725148407169e-01",    49.7,    11.4,    12.5,53.299999,53.799999,14.9,49.799999,    65.2,    16.2,"69,8","19,2",14138,7,61,15,60,46,19,46.0177,3.5398231,1.7699115,3.0973451,49.115044,11.4,12.5,49.7,14.9,-1.2599037,1.9819548,-.21422854,-2.0847547,-1.5532076,.30603889,1.7990007,.52749133,1.9504246,-2.109946,.48445261,.73826551,-.55489069,-1.1782019,1.1087826,2.5220227,1.4489102,0,4.4927721,4.6062598,2.1101644,2.3610854,-10.230155,-3.1380997,5.198987,4.7398252,1735,5212,5212,5106,5224
BU03633902,Kolenkitbuurt Zuid,WK036339,GM0363,Amsterdam,1,NEE,1061,1,6171,1,18303,2235,1125,1110,15,14,43,18,9,64,28,6,2,35,14,10,6,1070,48,24,28,"2,1",13,58,27,1,5,16,9,0,20,30,40,10,50,40,40,230,1076,372,0,100,89,25,75,57,18,0,31,69,11,220,220,,,,,250,120,2020,2020,,,,,1920,2280,700,480,670,66,85,15,1700,,,43,22,48,15,13,13,120,40,120,200,"-99999999,0","17,8","20,6",20.6,"3,2",30,"5,4",180,81,460,"0,4",3759,25,335,125,13,12,1,"0,3","4,3","31,1","82,3","1,3","0,5","1,3","2,6","6,0","15,5","1,3","1,6","5,0","11,5","0,5","6,2","36,3","99,0","0,3","26,4","175,2","682,9","1,4","11,4","25,0","49,0","0,7","4,1","92,4","453,8","0,5","14,3","144,5","646,6","0,4","12,7","185,1","1152,0","0,4","256,0","441,2","519,6","0,3","7,3","95,9","227,0","0,5","3,3","49,6","112,1","0,5","4,2","33,4","73,2","1,2","8,8","20,0","71,3","1,2","7,9","15,0","50,2","1,7","4,8","13,0","44,0","2,3","0,4","2,3","2,3","1,4","9,8","0,9","4,2","3,1","8,3","14,0","17,0","3,4","1,4","1,4","4,0","15,0","58,0","1,2","25,7","49,0","63,5","1,7","23,8","49,8","70,0",2020BU03633902,2020,"4,07674279238619","-2,55220587574998e-02","-2,97212346561112e-02","-1,38782909665704e-01","-9,42394216851689e-02","3,26844790449158e-01","-8,96232831996732e-02",    43.7,    14.6,    13.8,56.5,58.5,14.9,53.799999,    66.3,    13.4,"78,3","18,9",18303,9,48,25,66,58,13,31.31991,5.3691278,1.7897092,5.3691278,50.335571,14.6,13.8,43.7,14.9,-1.2599037,2.9441283,.39125732,-1.1899216,-1.3089477,1.0168918,.84901941,.87992108,.67559475,-1.6328077,1.2541536,.7779876,.54366249,-.34507707,1.057709,3.4344604,.42146304,0,6.5381813,6.7033362,2.999434,3.3560987,-13.221058,-4.0555592,4.4312286,4.0398731,1736,5221,5222,5189,5219
BU04390205,Molenkoog,WK043902,GM0439,Purmerend,1,NEE,1444,1,1429,3,1635,1030,550,475,11,12,25,30,22,57,33,7,3,10,8,10,9,345,31,34,35,"2,3",9,12,1,0,4,1,6,0,5,10,5,5,15,20,10,75,362,283,86,14,98,60,40,35,5,0,95,5,2,1230,1030,1120,1260,,2510,970,1400,3040,2690,3010,2780,,4930,2330,3520,230,320,290,66,86,14,700,,,37,17,30,22,4,4,260,10,10,200,"-99999999,0","6,5","8,3",8.300000000000001,"104,3",20,"9,5",240,234,380,"1,1",601,35,335,45,66,63,3,"1,2","0,8","8,6","16,7","3,1","1,8","3,1","1,0","2,0","6,0","3,1","1,0","1,0","4,0","1,5","0,0","10,1","18,5","1,5","0,0","24,3","64,7","3,3","1,0","2,0","14,2","1,4","0,1","6,0","26,0","1,1","0,3","14,8","49,8","1,6","0,0","14,2","57,7","3,3","3,9","14,1","69,2","1,0","0,8","8,3","26,2","1,2","0,2","7,0","23,0","1,4","0,0","4,9","18,9","0,4","7,0","7,0","9,0","0,4","5,0","5,0","7,0","2,2","2,0","2,0","3,0","2,1","1,1","2,3","18,6","4,2","19,5","3,0","2,7","2,9","2,0","2,0","7,2","5,9","2,1","3,5","1,0","5,5","41,0","2,7","2,0","3,0","12,3","3,1","1,0","5,1","28,3",2020BU04390205,2020,"4,11677827755175","1,45134264080658e-02","1,58122733418935e-02","6,51870957652394e-03","-6,88643038451424e-03","-2,45857660575163e-02","2,36546399316786e-02",    72.1,     3.4,     5.9,48.400002,43.799999,6.5999999,41.299999,    60.4,     8.5,"46,8","8,7",1635,22,31,60,66,12,9,22.330097,.97087377,.97087377,25.242718,53.39806,3.4,5.9,72.09999999999999,6.5999999,.21870868,-.90641367,1.9105129,-.63065088,.27874252,-.40481403,-.39326391,.09576495,-.10414699,.037176643,-.59646243,-.86492389,10.153823,-.34507707,-.51280665,-.063217551,-.26350176,0,-1.8363589,-1.8827455,-1.2766156,-1.4284189,8.3931179,2.5745885,-3.8650305,-3.5236804,2293,29,101,287,3
BU05183033,Transvaalkwartier-Midden,WK051830,GM0518,'s-Gravenhage,1,NEE,2572,4,8075,1,18497,5055,2560,2490,21,13,31,22,12,56,31,11,3,75,15,65,12,2130,45,17,39,"2,3",17,76,16,2,20,29,10,85,265,135,25,10,70,80,35,705,1852,173,16,84,96,25,74,43,30,1,72,28,4,840,880,560,940,,,810,910,2310,2120,3360,3560,,,2220,2580,880,1170,1670,57,70,30,3500,24,17,56,9,58,10,22,17,280,80,280,570,"-99999999,0","26,8","31,1",31.1,"1,6",115,"7,1",515,102,1230,"0,6",4494,40,950,280,27,27,0,"0,3","11,6","51,2","94,9","1,3","0,2","1,3","3,3","9,0","19,0","1,3","2,2","6,0","10,0","0,2","11,4","67,5","123,4","0,1","107,0","481,4","799,8","0,7","13,8","22,7","44,0","0,1","71,0","309,4","374,6","0,2","34,1","368,9","579,8","0,1","37,0","471,0","748,5","1,5","44,6","99,2","143,2","0,2","22,5","154,6","308,9","0,3","10,4","75,7","191,9","0,2","10,8","57,0","119,6","0,9","13,2","37,8","71,8","0,9","9,9","28,0","55,8","1,0","5,7","20,4","37,0","1,2","3,9","2,6","2,6","1,2","5,3","0,6","1,8","2,3","4,0","7,0","15,1","4,4","0,3","2,4","9,0","16,0","52,0","1,5","18,0","24,0","32,1","2,7","19,0","28,7","43,3",2020BU05183033,2020,"3,74112285596551","-3,61141995178175e-01","-4,42827558162773e-02","-2,90667461235624e-01","-1,22170862628787e-01","2,36168729792640e-01","-1,40189645290126e-01",    36.3,    20.8,    18.1,62.400002,68.199997,18.1,65.599998,    69.6,    12.5,"85,3","22,0",18497,12,45,25,57,76,17,17.408506,5.5390701,1.5825915,5.5390701,50.642929,20.8,18.1,36.3,18.1,-1.2599037,2.988945,.543733,-.85435915,-.94255763,1.2538428,.62979293,-.87341678,-.53102684,-1.6328077,1.3256589,.36242667,.6258406,-1.5947644,2.3983929,4.8031173,1.1064278,0,9.4184189,9.6563292,5.1150932,5.7233324,-9.4029799,-2.8843637,4.3205032,3.9389269,2736,5191,5225,5221,5217
BU05690100,Nieuwveen,WK056901,GM0569,Nieuwkoop,1,NEE,2441,1,423,5,1255,1365,700,665,11,12,22,36,19,63,31,3,3,5,6,30,21,400,31,30,39,"2,4",8,4,1,0,1,0,2,10,15,25,10,15,30,15,20,140,416,340,77,23,94,81,19,7,12,0,72,28,6,1340,930,850,1240,1370,1920,1140,1380,3190,2380,2640,3080,3230,4060,2270,3380,250,500,370,77,81,19,800,,,35,24,27,31,3,4,350,10,10,230,"-99999999,0","3,8","5,1",5.1,"261,3",20,"7,1",260,191,515,"1,3",473,75,440,75,114,109,6,"1,3","0,4","2,3","4,4","11,5","1,3","8,3","0,0","1,7","9,8","16,2","0,0","0,0","2,9","0,5","0,8","1,2","4,0","0,5","2,5","4,0","11,0","5,1","0,3","4,0","18,6","0,7","0,8","2,0","5,4","0,5","0,8","1,0","3,6","0,5","2,5","3,4","6,8","1,6","1,0","5,3","62,7","0,5","2,7","3,3","9,5","0,6","2,2","4,1","6,9","0,8","0,8","2,1","3,5","6,7","0,0","0,0","7,0","6,7","0,0","0,0","6,0","9,2","0,0","0,0","2,0","1,0","1,3","12,8","17,1","5,8","22,6","5,7","15,9","11,3","0,0","0,0","4,0","8,4","8,8","7,3","1,0","7,7","71,4","12,1","0,0","0,0","12,1","10,8","0,0","0,0","10,5",2020BU05690100,2020,"4,14247484572569","4,02099945820040e-02","1,74343236698531e-02","7,44672119194657e-02","4,06141526361424e-02","-1,15476834188117e-01","2,31711405446593e-02",    71.3,     2.3,     4.4,44.200001,45.700001,6.1999998,43.200001,    55.0,     7.0,"50,9","6,4",1255,19,31,81,77,4,8,18.315018,.73260075,.73260075,25.641026,51.282051,2.3,4.4,71.3,6.1999998,1.6973211,-.99419904,.86079204,-.85435915,-.08764752,-.87871599,-.39326391,.59797728,-.45239952,1.0391673,-.69671857,-1.3429949,10.346431,1.1823184,-.92139608,-.67150939,-.43474296,0,-2.4003901,-2.4610243,-2.0377269,-2.2800343,7.0299454,2.1564355,-4.1592431,-3.791909,2931,69,23,43,2
