buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buu,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaa,percentage_personen_15_tot_25_ja,percentage_personen_25_tot_45_ja,percentage_personen_45_tot_65_ja,percentage_personen_65_jaar_en_o,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboorte_totaal,geboortes_per_1000_inwoners,sterfte_totaal,sterfte_relatief,aantal_huishoudens,percentage_eenpersoonshuishouden,percentage_huishoudens_zonder_ki,percentage_huishoudens_met_kinde,gemiddelde_huishoudsgrootte,percentage_westerse_migratieacht,percentage_niet_westerse_migrati,percentage_uit_marokko,percentage_uit_nederlandse_antil,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersem,aantal_bedrijven_landbouw_bosbou,aantal_bedrijven_nijverheid_ener,aantal_bedrijven_handel_en_horec,aantal_bedrijven_vervoer_informa,aantal_bedrijven_financieel_onro,aantal_bedrijven_zakelijke_diens,aantal_bedrijven_overheid_onderw,aantal_bedrijven_cultuur_recreat,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_wonin,perc_huurwoningen_in_bezit_overi,percentage_woningen_met_eigendom,percentage_bouwjaarklasse_tot_20,percentage_bouwjaarklasse_vanaf_,percentage_leegstand_woningen,gemiddeld_gasverbruik_totaal,gemiddeld_gasverbruik_appartemen,gemiddeld_gasverbruik_tussenwoni,gemiddeld_gasverbruik_hoekwoning,gemiddeld_gasverbruik_2_onder_1_,gemiddeld_gasverbruik_vrijstaand,gemiddeld_gasverbruik_huurwoning,gemiddeld_gasverbruikkoopwoning,gemiddeld_elektriciteitsverbruik,v72,v73,v74,gem_elektriciteitsverbruik_2_ond,gem_elektriciteitsverbruik_vrijs,v77,v78,opleidingsniveau_hoog,opleidingsniveau_middelbaar,opleidingsniveau_laag,netto_arbeidsparticipatie,percentage_werknemers,percentage_zelfstandigen,aantal_inkomensontvangers,gemiddeld_inkomen_per_inkomenson,gemiddeld_inkomen_per_inwoner,percentage_personen_met_laag_ink,percentage_personen_met_hoog_ink,percentage_huishoudens_met_laag_,percentage_huishoudens_met_hoog_,percentage_huishoudens_onder_of_,percentage_huishoudens_met_lage_,aantal_personen_met_een_ao_uitke,aantal_personen_met_een_ww_uitke,aantal_personen_met_een_alg_bijs,aantal_personen_met_een_aow_uitk,gemiddeld_gestandaardiseerd_inko,huishoudens_tot_110_percent_van_,huishoudens_tot_120_percent_van_,percentage_HH120,mediaan_vermogen_van_particulier,aantal_jongeren_met_jeugdzorg_in,percentage_jongeren_met_jeugdzor,aantal_wmo_clienten,aantal_wmo_clienten_per_1000_inw,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandst,aantal_personenautos_met_overige,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,huisartsenpraktijk_gemiddelde_af,huisartsenpraktijk_gemiddeld_aan,v117,v118,huisartsenpost_gemiddelde_afstan,apotheek_gemiddelde_afstand_in_k,ziekenhuis_incl_buitenpoliklinie,ziekenhuis_incl_buitenpoli_gem_a,v123,v124,ziekenhuis_excl_buitenpoliklinie,ziekenhuis_excl_buitenpoli_gem_a,v127,v128,grote_supermarkt_gemiddelde_afst,grote_supermarkt_gemiddeld_aanta,v131,v132,winkels_ov_dagelijkse_levensm_ge,winkels_ov_dagel_levensm_gem_aan,v135,v136,warenhuis_gemiddelde_afstand_in_,warenhuis_gemiddeld_aantal_binne,v139,v140,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_k,cafe_gemiddeld_aantal_binnen_3_k,cafe_gemiddeld_aantal_binnen_5_k,cafetaria_gemiddelde_afstand_in_,cafetaria_gemiddeld_aantal_binne,v147,v148,restaurant_gemiddelde_afstand_in,restaurant_gemiddeld_aantal_binn,v151,v152,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_,hotel_gemiddeld_aantal_binnen_10,hotel_gemiddeld_aantal_binnen_20,kinderdagverblijf_gemiddelde_afs,kinderdagverblijf_gemiddeld_aant,v159,v160,buitenschoolse_opvang_gem_afstan,buitenschoolse_opvang_gemiddeld_,v163,v164,basisonderwijs_gemiddelde_afstan,basisonderwijs_gemiddeld_aantal_,v167,v168,voortgezet_onderwijs_gem_afstand,voortgezet_onderwijs_gemiddeld_a,v171,v172,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_k,vmbo_gemiddeld_aantal_binnen_5_k,vmbo_gemiddeld_aantal_binnen_10_,havo_vwo_gemiddelde_afstand_in_k,havo_vwo_gemiddeld_aantal_binnen,v179,v180,brandweerkazerne_gemiddelde_afst,oprit_hoofdverkeersweg_gemiddeld,treinstation_gemiddelde_afstand_,overstapstation_gemiddelde_afsta,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_,bibliotheek_gemiddelde_afstand_i,poppodium_gemiddelde_afstand_in_,bioscoop_gemiddelde_afstand_in_k,bioscoop_gemiddeld_aantal_binnen,v191,v192,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_,attractiepark_gemiddelde_afstand,attractiepark_gemiddeld_aantal_b,v197,v198,theater_gemiddelde_afstand_in_km,theater_gemiddeld_aantal_binnen_,v201,v202,gemiddelde_afstand_tot_museum,gemiddeld_aantal_musea_binnen_5_,gemiddeld_aantal_musea_binnen_10,gemiddeld_aantal_musea_binnen_20,jrstatcode,jaar,leefbarometer,afw,fysiekeomgeving,overlastonveiligheid,socialesamenhang,voorzieningen,v215,ervarengezondheidgoedzeergoed_4,hoogrisicoopangstofdepressie_25,heelveelstressinafgelopen4weken_,eenofmeerlangdurigeaandoeningen_,beperktvanwegegezondheid_17,ernstigbeperktvanwegegezondheid_,langdurigeziekteenbeperkt_19,overgewicht_9,roker_11,voldoetaanalcoholrichtlijn_12,ernstigzeerernstigeenzaam_28,bevolkingsdichtheid,percentage_65plus,percentage_1perHH,percentage_koop,netto_arbeidspa,percentage_niet_w,percentage_migr_w,percentage_hoogOpg,percentage_bijst,percentage_ww,percentage_ao,percentage_mannen,risk_depression,high_stress,perceived_health,chronic_disease,stedelijkheid_adressen_per_km2_n,bevolkingsdichtheid_n,percentage_mannen_n,percentage_gehuwd_n,percentage_65plus_n,geboortes_per_1000_inwoners_n,percentage_1perHH_n,gemiddelde_woningwaarde_n,percentage_hoogOpg_n,percentage_koop_n,percentage_bijst_n,percentage_ww_n,percentage_ao_n,netto_arbeidspa_n,percentage_HH120_n,percentage_niet_w_n,percentage_migr_w_n,missing_indicator,residuals_dep,z_scores_dep,residuals_stress,z_scores_stress,residuals_health,z_scores_health,residuals_chronic,z_scores_chronic,orig_order,z_scores_health_id,z_scores_dep_id,z_scores_stress_id,z_scores_chronic_id
BU00140401,Vogelbuurt,WK001404,GM0014,Groningen,1,NEE,9713,1,4067,1,7464,2630,1295,1335,15,14,40,22,10,70,18,9,3,40,15,20,7,1665,66,15,19,"1,6",14,22,1,3,3,1,15,0,15,25,25,5,40,40,35,195,1571,174,17,83,97,12,88,70,17,0,53,47,3,810,770,960,1200,,,780,980,1850,1590,3020,3210,,,1700,2950,880,790,470,55,88,12,2100,,22,54,12,74,7,25,27,210,50,310,240,"-99999999,0","38,1","42,4",42.4,"1,4",125,"19,7",320,122,615,"0,4",1751,45,505,110,37,35,2,"0,6","3,3","19,7","35,9","5,5","1,0","1,3","1,0","3,0","3,0","1,3","1,0","2,0","2,0","0,5","1,7","27,2","47,1","0,5","3,2","104,8","153,8","2,3","5,7","7,9","14,0","0,6","2,5","122,4","135,3","0,4","5,8","132,4","169,7","0,7","2,7","238,0","292,4","1,4","23,9","31,7","53,6","0,4","6,3","37,1","91,1","0,3","6,2","24,7","62,4","0,8","1,6","9,9","27,1","0,9","11,4","22,2","26,0","0,9","8,5","16,2","19,0","1,4","5,9","11,0","13,0","1,7","1,7","2,3","3,1","1,8","1,8","2,0","1,7","2,4","3,0","3,0","4,0","3,2","1,6","2,2","2,0","5,0","23,3","1,5","7,0","7,0","9,0","1,9","5,0","5,2","17,0",2020BU00140401,2020,"4,06764161653551","-3,46232346081735e-02","1,33506533345760e-02","-8,57301271928740e-02","-3,04483177127223e-02","9,57448527729427e-02","-2,75402958100961e-02",    51.5,     5.7,    11.3,53.700001,56.799999,13.7,54,    63.6,    19.6,"62,6","18,2",7464,10,66,12,55,22,14,33.460075,11.787072,1.9011407,7.9847908,49.239544,5.7,11.3,51.5,13.7,-1.2599037,.44016713,-.15246578,-2.3084629,-1.1868176,1.2538428,2.1643782,-.86460602,.86122447,-2.2530875,3.9545779,1.0015637,1.8085041,-1.8724726,3.8412244,.69714725,.59270424,0,-2.6716833,-2.7391703,.50269592,.56247181,-2.0283883,-.62220806,.56359124,.51381624,21,3956,9,4022,3829
BU00340202,Filmwijk,WK003402,GM0034,Almere,1,NEE,1325,1,1517,2,5124,10535,5155,5385,16,16,24,32,12,51,37,9,3,80,8,40,4,4650,34,24,42,"2,3",12,32,3,2,10,2,14,0,70,115,115,60,275,205,110,950,4483,246,68,32,98,62,38,28,10,0,91,9,2,0,20,,,,,10,,2950,2000,3270,3440,3850,4510,2310,3350,2490,3850,2130,68,87,13,8400,35,28,39,21,36,22,7,8,440,190,360,1130,"32,0","10,6","13,5",13.5,"71,0",205,"6,8",475,45,4160,"0,9",2023,305,3340,820,213,206,7,"1,1","0,6","5,3","14,3","1,8","1,1","1,8","1,0","2,0","3,6","1,8","1,0","1,0","1,6","0,8","1,3","16,7","27,9","0,7","2,4","40,2","69,6","1,9","2,5","4,0","9,3","1,7","1,6","16,9","27,7","0,5","5,0","50,8","80,4","0,5","5,4","56,2","90,2","1,2","5,7","7,0","15,0","0,4","4,5","40,2","87,5","0,4","6,3","38,4","81,3","0,6","1,9","18,3","40,8","0,9","4,9","8,5","17,0","0,9","4,1","6,8","14,0","0,9","2,6","4,5","10,0","1,4","2,0","1,8","2,0","3,1","25,2","1,9","2,1","2,3","1,0","1,0","3,0","2,8","1,2","2,1","5,0","6,9","37,8","2,1","2,0","2,0","5,7","15,2","0,0","0,0","6,7",2020BU00340202,2020,"4,07746773948562","-2,47971116580620e-02","2,50041875957687e-02","2,52609040679361e-02","9,61771494080893e-03","-5,24646085451366e-02","-3,22153097174395e-02",    72.3,     2.7,     5.9,48.400002,45.099998,7.1999998,42.599998,    60.9,    10.8,"48,1","8,9",5124,12,34,62,68,32,12,23.6355,3.4171808,1.8035121,4.1765542,48.932133,2.7,5.9,72.3,7.1999998,-.52059752,-.10040571,-.30496797,-.18323435,-.94255763,-.40481403,-.17403744,-.23023254,.0090786209,.13260432,.43284944,.80568171,-.033023614,-.067368783,.15115115,1.457512,.25022182,0,-2.6507258,-2.7176833,-2.2128644,-2.4759977,8.1758728,2.5079486,-1.4862956,-1.3550296,63,37,10,27,363
BU00340301,Centrum Almere Buiten,WK003403,GM0034,Almere,1,NEE,1334,1,2329,2,4564,2040,935,1105,13,9,37,20,21,55,23,14,9,30,13,65,32,1115,55,18,26,"1,7",10,39,4,5,15,1,14,0,30,130,15,10,45,25,45,300,1195,154,15,85,95,19,69,59,10,11,52,48,5,690,640,860,1080,,,650,830,2060,1910,2870,2900,,,1920,2650,350,780,460,63,91,9,1600,,,44,10,62,5,13,12,150,40,120,400,"-99999999,0","19,8","24,6",24.6,"2,6",30,"7,4",370,181,600,"0,5",1347,35,505,95,45,45,0,"1,0","0,5","6,2","11,3","5,6","1,2","5,6","0,0","1,0","2,0","5,6","0,0","1,0","1,0","0,3","3,1","8,7","14,8","0,1","15,2","23,1","30,5","0,5","1,0","3,0","4,0","0,5","1,0","4,0","7,0","0,2","16,3","33,5","43,3","0,2","9,0","23,2","39,7","5,5","0,0","6,3","9,9","0,3","5,2","34,8","71,2","0,2","5,4","39,1","72,0","0,6","3,7","15,6","31,6","1,1","3,5","6,3","12,1","1,1","3,5","6,3","10,1","1,1","2,0","3,3","6,1","1,5","2,0","0,4","5,6","0,5","29,6","0,5","5,9","6,0","0,0","1,0","1,0","3,4","0,7","2,8","5,0","5,0","34,0","5,9","0,0","2,0","2,0","19,7","0,0","0,0","2,8",2020BU00340301,2020,"4,11569289071783","1,34280395741483e-02","6,09051768101460e-03","2,29780536843740e-02","2,56092013836885e-02","-3,60909624673109e-02","-5,15877070761827e-03",    73.4,     2.9,     6.3,55,58.5,12.1,55.5,    58.1,     8.7,"50,6","7,5",4564,21,55,19,63,39,10,17.156862,5.8823528,1.9607843,7.352941,45.833332,2.9,6.3,73.40000000000001,12.1,-.52059752,-.22977357,-1.8422375,-1.7491922,.1566125,.77994084,1.3605479,-1.0408208,-.55285347,-1.9190907,1.4700991,1.1212327,1.502964,-.76163954,1.5684457,1.9897673,-.092260562,0,-3.9594376,-4.0594535,-2.6121187,-2.9227276,17.976717,5.5143576,.33084011,.30162111,67,1,1,11,3427
BU01710323,Luttelgeest-landelijk gebied,WK017103,GM0171,Noordoostpolder,1,NEE,8315,1,66,5,37,1395,825,570,20,13,37,23,7,58,38,3,2,20,15,5,1,265,14,40,45,"2,8",4,46,0,0,0,4,42,135,15,15,5,15,25,15,5,225,572,232,73,27,46,42,58,0,58,0,46,54,54,2020,990,1200,1420,1290,2370,2070,2010,4360,1980,3050,3690,3520,4840,4090,4400,230,510,350,81,60,40,600,,,36,23,17,37,3,3,30,0,0,80,"-99999999,0","3,1","4,2",4.2,"307,9",15,"3,7",15,11,490,"1,9",13,45,295,200,3805,3762,44,"4,2","0,0","0,1","0,8","11,2","4,1","10,3","0,0","0,8","3,0","31,3","0,0","0,0","0,0","3,9","0,0","0,1","0,8","2,3","0,0","0,7","1,4","9,4","0,0","0,7","3,3","5,6","0,0","0,0","0,1","6,8","0,0","0,0","0,1","2,0","0,1","1,4","3,6","6,6","0,0","2,9","16,3","2,7","0,1","0,8","3,9","3,3","0,2","0,5","2,2","1,2","0,5","1,0","2,9","9,5","0,0","0,0","6,7","9,5","0,0","0,0","6,0","9,7","0,0","0,0","2,0","4,0","1,2","20,8","38,6","9,3","29,0","4,7","37,3","24,3","0,0","0,0","0,0","31,4","21,2","19,7","0,0","0,7","19,9","9,7","0,0","0,7","1,0","11,5","0,0","0,3","5,7",2020BU01710323,2020,"4,17055259526105","6,82877441173639e-02","-2,26750231061774e-02","7,12405911123480e-02","1,05077411892854e-01","-2,35745576110934e-01","1,50390340329273e-01",    78.4,     1.3,     3.8,37.5,36.799999,6.5999999,34.099998,    55.7,    10.6,"50,0","6,2",37,7,14,42,81,46,4,16.487455,0,0,2.1505377,59.139786,1.3,3.8,78.40000000000001,6.5999999,1.6973211,-1.2755741,4.7588987,-.071380205,-1.5532076,1.2538428,-1.6355473,-.35358295,-.61091524,-.82167244,-1.0049688,-2.812885,-1.0127331,1.737735,-1.0363119,2.5220227,-1.1197077,0,-2.8876209,-2.9605625,-2.1132042,-2.3644867,11.07069,3.3959339,-.30379364,-.27696332,566,10,4,34,2045
BU03010102,Helbergen,WK030101,GM0301,Zutphen,1,NEE,7204,1,2408,2,5496,1580,800,780,14,13,26,26,20,50,33,13,4,20,15,15,9,850,50,23,27,"1,9",11,29,1,1,1,14,12,0,10,10,5,5,10,15,10,60,837,136,22,78,98,27,73,67,6,0,83,17,2,950,880,1180,1320,,,900,1090,2160,1880,3130,3420,,,1880,2920,140,550,530,51,90,10,1300,,,56,7,67,5,20,21,150,30,180,300,"-99999999,0","29,7","34,9",34.9,"2,5",35,"9,4",185,117,610,"0,7",2123,35,495,115,32,29,3,"1,1","0,3","8,5","10,3","2,3","1,0","2,3","1,0","1,0","4,8","2,3","1,0","1,0","2,0","0,5","4,6","13,0","14,3","0,6","11,0","48,3","52,0","1,3","2,0","3,1","15,9","0,6","3,6","19,4","20,0","0,4","6,9","35,5","39,6","0,4","10,9","47,6","49,9","1,1","2,0","6,0","47,7","0,8","4,0","20,3","26,0","0,8","3,8","21,2","27,2","0,7","3,7","14,1","18,9","1,1","7,0","8,0","9,0","1,1","7,0","8,0","9,0","1,1","5,0","5,0","5,0","1,5","1,5","1,7","1,7","1,7","16,9","1,5","16,2","1,2","2,0","2,0","5,0","2,5","0,9","2,3","1,0","3,0","30,6","2,1","1,0","1,0","7,0","1,1","3,0","4,0","11,0",2020BU03010102,2020,"3,86174542260543","-2,40519428538254e-01","7,36879077726173e-04","-1,48753515770976e-01","-5,03127862422855e-02","5,94861262973286e-03","-4,81386182324520e-02",    65.8,     4.9,     7.0,50.799999,51.599998,9.6000004,48.200001,    60.6,    11.4,"56,8","11,5",5496,20,50,27,51,29,11,8.8607597,11.392406,1.8987342,9.4936705,50.632912,4.9,7,65.8,9.6000004,-.52059752,-.014468489,.53876352,-.63065088,.034482494,1.2538428,.99517041,-1.1994143,-1.2724254,-1.53738,3.7885172,.99673533,2.5381446,-2.4278893,2.8835931,1.2294025,.078980632,0,-2.6947072,-2.7627757,-2.3750303,-2.6574466,10.283065,3.1543298,-2.5784519,-2.3507292,1178,14,8,20,48
BU03010203,Voorsteralleekwartier,WK030102,GM0301,Zutphen,1,NEE,7203,1,1010,3,1297,1605,835,775,16,15,33,21,15,49,42,6,3,20,11,15,7,530,42,29,29,"2,0",8,40,1,1,1,4,34,0,10,5,5,5,15,25,10,80,589,182,48,52,88,47,53,41,12,0,100,0,12,1230,970,1300,1560,1390,1830,970,1450,2410,1840,2640,2940,2740,3870,1890,2870,340,440,500,62,85,15,900,,,44,15,46,16,11,14,60,10,80,210,"-99999999,0","17,2","19,8",19.8,"38,7",35,"8,3",65,40,495,"0,9",399,35,425,70,124,124,0,"0,6","1,0","4,6","12,0","3,7","1,7","3,7","1,0","1,0","4,0","3,7","1,0","1,0","2,0","0,8","0,9","9,8","14,6","0,8","1,3","42,4","51,0","2,5","2,0","4,0","13,7","2,1","0,0","17,2","20,0","0,6","1,4","31,9","39,0","1,6","0,0","44,6","50,0","2,8","2,0","6,6","44,6","0,6","1,9","16,5","27,5","0,6","1,9","14,5","29,5","1,1","0,4","8,2","19,4","0,6","6,0","8,0","9,4","0,6","6,0","8,0","9,4","1,9","4,0","5,0","5,0","1,9","0,2","2,4","2,4","3,4","15,3","2,5","14,6","2,1","2,0","2,0","4,0","5,5","2,7","2,2","1,0","3,0","32,0","1,7","1,0","1,0","7,0","2,6","3,0","4,0","9,8",2020BU03010203,2020,"4,03121899543078","-7,10458557129062e-02","-2,20301833724384e-02","-1,77803550530618e-02","6,78828170668027e-03","-3,21799413951688e-02","-5,84365759891772e-03",    75.1,     3.0,     5.2,45.799999,43,6.6999998,40.599998,    54.4,     8.2,"52,4","8,2",1297,15,42,47,62,40,8,21.1838,4.9844236,.62305295,3.7383177,52.024921,3,5.2,75.09999999999999,6.6999998,.21870868,-.98449641,1.2293191,.37603635,-.57616758,.30603889,.41056648,-.79412007,-.20357242,-.58310324,1.0922849,-1.5627916,-.24493918,-.90049362,.95556158,2.0658038,-.43474296,0,-3.0138161,-3.0899453,-2.9195049,-3.2666652,13.441615,4.1232152,-2.6214333,-2.3899148,1185,3,3,5,43
BU03440121,Lombok-Oost,WK034401,GM0344,Utrecht,1,NEE,3531,1,4691,1,17630,2285,1110,1180,6,19,54,13,8,75,18,4,2,25,11,10,3,1475,63,25,12,"1,6",14,29,10,1,2,9,7,0,20,85,40,10,80,45,85,365,1112,267,33,67,94,28,70,29,41,1,82,18,6,880,790,1050,1080,,,900,830,1990,1850,2250,2490,,,2020,1940,1270,550,230,74,88,12,2000,,,40,22,57,13,9,9,90,30,70,180,"-99999999,0","12,1","14,4",14.4,"2,7",30,"8,0",110,48,460,"0,3",3561,50,370,95,13,13,0,"0,5","1,5","18,6","47,6","3,7","0,5","3,6","3,0","7,0","11,0","3,6","2,0","6,0","9,0","0,2","8,4","43,1","77,0","0,1","46,1","198,9","299,6","0,8","9,0","17,0","29,4","0,2","6,6","101,6","113,4","0,1","33,8","247,0","321,8","0,1","41,0","392,5","457,5","0,4","31,0","37,0","69,4","0,4","9,9","93,8","176,2","0,4","6,4","60,5","128,3","0,4","3,2","31,8","83,1","0,6","8,6","19,0","30,3","1,0","4,6","12,0","21,5","0,7","6,0","11,0","18,2","2,3","2,7","1,2","1,2","2,2","4,9","1,7","1,3","1,1","7,0","8,0","13,0","2,0","0,3","2,5","5,0","10,0","52,1","1,0","8,0","10,0","20,0","1,3","10,0","14,8","27,0",2020BU03440121,2020,"4,03156552275573","-7,06993283879538e-02","-7,03833179260508e-02","-2,03938292854581e-01","-7,55424424965629e-02","2,86394348415277e-01","-7,22962352603668e-03",    43.6,    12.2,    14.5,57.099998,59.700001,14.5,56.5,    68.0,    14.0,"79,0","17,0",17630,8,63,28,74,29,14,55.579868,3.0634573,1.3129103,3.938731,48.577679,12.2,14.5,43.6,14.5,-1.2599037,2.7886558,-.48080739,-2.3084629,-1.4310776,.30603889,1.9451518,-.045206938,2.7798102,-1.4896662,.28401619,-.17866173,-.14802647,.76575607,.26606694,1.2294025,.59270424,0,6.2958879,6.4549227,4.8973932,5.4797454,-18.526642,-5.6830468,5.4121742,4.9341841,1400,5226,5221,5220,5225
BU03633702,Bosleeuw,WK036337,GM0363,Amsterdam,1,NEE,1055,1,6223,1,16875,5755,2780,2970,15,16,39,22,8,65,27,7,2,65,12,30,5,2950,51,22,28,"1,9",17,53,21,1,4,16,11,0,75,100,110,25,215,115,170,815,2739,329,3,97,96,27,73,51,22,0,94,6,4,760,770,90,200,,,760,740,1890,1860,2720,2840,,,1840,2010,1930,1250,1520,64,82,18,4500,30,24,47,17,55,12,14,15,260,100,380,430,"26,3","18,7","22,2",22.2,"3,2",105,"7,0",445,77,1145,"0,4",3358,95,900,245,34,34,0,"0,5","6,2","37,3","90,7","1,7","0,5","1,7","2,0","6,3","17,0","1,7","1,0","5,3","12,0","0,3","8,0","45,0","106,8","0,2","32,7","242,3","764,1","2,1","12,2","25,0","48,7","0,3","9,1","138,7","589,7","0,2","23,0","205,5","775,7","0,2","25,6","337,3","1448,0","0,3","319,6","441,8","520,2","0,2","15,1","110,8","238,4","0,3","5,2","57,5","116,9","0,3","6,4","36,0","75,5","0,7","8,2","22,7","75,1","0,7","8,0","16,2","52,5","1,7","4,1","15,3","46,1","1,5","0,5","2,0","2,0","1,4","9,2","0,5","3,6","2,2","9,1","14,0","18,1","2,9","0,7","1,4","5,0","14,4","57,9","0,5","27,9","49,0","63,7","2,4","30,7","49,7","70,3",2020BU03633702,2020,"4,04623507618290","-5,60297749607860e-02","-4,61780447681756e-02","-1,44246762253197e-01","-1,18313648645423e-01","3,74592945860560e-01","-1,21884265154550e-01",    47.2,    13.8,    15.7,54.400002,56.900002,13.7,52.400002,    66.7,    15.9,"73,8","18,8",16875,8,51,27,64,53,17,33.536057,6.6029539,1.7376195,4.5178108,48.30582,13.8,15.7,47.2,13.7,-1.2599037,2.6142402,-.61567229,-1.3017757,-1.4310776,.54298985,1.0682459,.50105911,.86781478,-1.53738,1.7733003,.67347485,.13199595,-.62278539,1.2620037,3.0542781,1.1064278,0,5.7769294,5.9228549,4.6966581,5.2551408,-9.4020596,-2.8840814,3.0747173,2.8031657,1727,5190,5218,5217,5178
BU03633902,Kolenkitbuurt Zuid,WK036339,GM0363,Amsterdam,1,NEE,1061,1,6171,1,18303,2235,1125,1110,15,14,43,18,9,64,28,6,2,35,14,10,6,1070,48,24,28,"2,1",13,58,27,1,5,16,9,0,20,30,40,10,50,40,40,230,1076,372,0,100,89,25,75,57,18,0,31,69,11,220,220,,,,,250,120,2020,2020,,,,,1920,2280,700,480,670,66,85,15,1700,,,43,22,48,15,13,13,120,40,120,200,"-99999999,0","17,8","20,6",20.6,"3,2",30,"5,4",180,81,460,"0,4",3759,25,335,125,13,12,1,"0,3","4,3","31,1","82,3","1,3","0,5","1,3","2,6","6,0","15,5","1,3","1,6","5,0","11,5","0,5","6,2","36,3","99,0","0,3","26,4","175,2","682,9","1,4","11,4","25,0","49,0","0,7","4,1","92,4","453,8","0,5","14,3","144,5","646,6","0,4","12,7","185,1","1152,0","0,4","256,0","441,2","519,6","0,3","7,3","95,9","227,0","0,5","3,3","49,6","112,1","0,5","4,2","33,4","73,2","1,2","8,8","20,0","71,3","1,2","7,9","15,0","50,2","1,7","4,8","13,0","44,0","2,3","0,4","2,3","2,3","1,4","9,8","0,9","4,2","3,1","8,3","14,0","17,0","3,4","1,4","1,4","4,0","15,0","58,0","1,2","25,7","49,0","63,5","1,7","23,8","49,8","70,0",2020BU03633902,2020,"4,07674279238619","-2,55220587574998e-02","-2,97212346561112e-02","-1,38782909665704e-01","-9,42394216851689e-02","3,26844790449158e-01","-8,96232831996732e-02",    43.7,    14.6,    13.8,56.5,58.5,14.9,53.799999,    66.3,    13.4,"78,3","18,9",18303,9,48,25,66,58,13,31.31991,5.3691278,1.7897092,5.3691278,50.335571,14.6,13.8,43.7,14.9,-1.2599037,2.9441283,.39125732,-1.1899216,-1.3089477,1.0168918,.84901941,.87992108,.67559475,-1.6328077,1.2541536,.7779876,.54366249,-.34507707,1.057709,3.4344604,.42146304,0,6.5381813,6.7033362,2.999434,3.3560987,-13.221058,-4.0555592,4.4312286,4.0398731,1736,5221,5222,5189,5219
BU03633903,Kolenkitbuurt Noord,WK036339,GM0363,Amsterdam,1,NEE,1061,1,5634,1,13994,4155,2130,2030,21,14,38,21,6,62,30,7,1,70,18,10,3,1790,42,21,37,"2,3",10,75,37,1,5,20,12,0,45,35,95,10,85,40,70,375,1862,301,6,94,85,10,82,65,17,8,56,44,15,490,520,130,1330,,,550,410,2170,2080,3490,1380,,,1960,2260,1380,900,1200,61,85,15,3100,26,20,53,13,53,9,19,20,220,70,420,240,"-99999999,0","24,9","29,6",29.6,"1,2",130,"9,7",280,67,835,"0,5",2808,30,560,275,30,30,0,"0,4","3,8","31,7","82,9","1,4","0,6","1,4","2,4","6,0","15,8","1,4","1,4","5,0","11,8","0,5","6,8","35,7","98,8","0,3","26,3","179,4","695,9","1,5","11,4","25,0","49,0","0,6","4,6","95,7","486,8","0,2","13,6","149,8","672,4","0,3","17,6","197,7","1206,0","0,4","267,5","441,0","519,8","0,2","11,5","97,1","224,9","0,3","5,0","50,2","109,8","0,2","6,7","33,1","71,5","1,2","8,0","19,6","72,3","1,2","7,4","14,6","50,7","1,8","4,0","12,6","44,9","2,0","0,5","2,2","2,2","1,5","9,7","0,9","4,1","2,8","8,5","14,0","17,3","3,4","1,3","1,5","4,7","15,0","58,0","1,1","25,8","49,0","63,8","1,9","25,2","49,5","70,0",2020BU03633903,2020,"3,91199673229602","-1,90268118847662e-01","-5,50960011660930e-02","-1,91706733209114e-01","-1,09824451994792e-01","3,48002786428223e-01","-1,81643718905886e-01",    43.1,    16.2,    18.3,56.200001,57.200001,14.1,52.299999,    69.4,    14.8,"82,8","19,1",13994,6,42,10,61,75,10,33.212997,10.108303,1.6847172,5.2948256,51.263538,16.2,18.3,43.1,14.1,-1.2599037,1.9486887,.85160816,-.96621329,-1.6753377,1.9646957,.41056648,.25435832,.83979386,-2.3485153,3.2482164,.56733155,.50773263,-1.0393478,2.2068667,4.7270803,-.092260562,0,6.5720482,6.7380586,6.4572206,7.2250528,-9.858242,-3.0240154,2.4292774,2.2147295,1737,5205,5223,5225,5095
