buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijziging_wijken_en_buu,water,meest_voorkomende_postcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheid_adressen_per_km2,bevolkingsdichtheid_inwoners_per,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaa,percentage_personen_15_tot_25_ja,percentage_personen_25_tot_45_ja,percentage_personen_45_tot_65_ja,percentage_personen_65_jaar_en_o,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboorte_totaal,geboortes_per_1000_inwoners,sterfte_totaal,sterfte_relatief,aantal_huishoudens,percentage_eenpersoonshuishouden,percentage_huishoudens_zonder_ki,percentage_huishoudens_met_kinde,gemiddelde_huishoudsgrootte,percentage_westerse_migratieacht,percentage_niet_westerse_migrati,percentage_uit_marokko,percentage_uit_nederlandse_antil,percentage_uit_suriname,percentage_uit_turkije,percentage_overige_nietwestersem,aantal_bedrijven_landbouw_bosbou,aantal_bedrijven_nijverheid_ener,aantal_bedrijven_handel_en_horec,aantal_bedrijven_vervoer_informa,aantal_bedrijven_financieel_onro,aantal_bedrijven_zakelijke_diens,aantal_bedrijven_overheid_onderw,aantal_bedrijven_cultuur_recreat,aantal_bedrijfsvestigingen,woningvoorraad,gemiddelde_woningwaarde,percentage_eengezinswoning,percentage_meergezinswoning,percentage_bewoond,percentage_koopwoningen,percentage_huurwoningen,perc_huurwoningen_in_bezit_wonin,perc_huurwoningen_in_bezit_overi,percentage_woningen_met_eigendom,percentage_bouwjaarklasse_tot_20,percentage_bouwjaarklasse_vanaf_,percentage_leegstand_woningen,gemiddeld_gasverbruik_totaal,gemiddeld_gasverbruik_appartemen,gemiddeld_gasverbruik_tussenwoni,gemiddeld_gasverbruik_hoekwoning,gemiddeld_gasverbruik_2_onder_1_,gemiddeld_gasverbruik_vrijstaand,gemiddeld_gasverbruik_huurwoning,gemiddeld_gasverbruikkoopwoning,gemiddeld_elektriciteitsverbruik,v72,v73,v74,gem_elektriciteitsverbruik_2_ond,gem_elektriciteitsverbruik_vrijs,v77,v78,opleidingsniveau_hoog,opleidingsniveau_middelbaar,opleidingsniveau_laag,netto_arbeidsparticipatie,percentage_werknemers,percentage_zelfstandigen,aantal_inkomensontvangers,gemiddeld_inkomen_per_inkomenson,gemiddeld_inkomen_per_inwoner,percentage_personen_met_laag_ink,percentage_personen_met_hoog_ink,percentage_huishoudens_met_laag_,percentage_huishoudens_met_hoog_,percentage_huishoudens_onder_of_,percentage_huishoudens_met_lage_,aantal_personen_met_een_ao_uitke,aantal_personen_met_een_ww_uitke,aantal_personen_met_een_alg_bijs,aantal_personen_met_een_aow_uitk,gemiddeld_gestandaardiseerd_inko,huishoudens_tot_110_percent_van_,huishoudens_tot_120_percent_van_,percentage_HH120,mediaan_vermogen_van_particulier,aantal_jongeren_met_jeugdzorg_in,percentage_jongeren_met_jeugdzor,aantal_wmo_clienten,aantal_wmo_clienten_per_1000_inw,personenautos_totaal,personenautos_per_huishouden,personenautos_per_km2,motortweewielers_totaal,aantal_personenautos_met_brandst,aantal_personenautos_met_overige,oppervlakte_totaal_in_ha,oppervlakte_land_in_ha,oppervlakte_water_in_ha,huisartsenpraktijk_gemiddelde_af,huisartsenpraktijk_gemiddeld_aan,v117,v118,huisartsenpost_gemiddelde_afstan,apotheek_gemiddelde_afstand_in_k,ziekenhuis_incl_buitenpoliklinie,ziekenhuis_incl_buitenpoli_gem_a,v123,v124,ziekenhuis_excl_buitenpoliklinie,ziekenhuis_excl_buitenpoli_gem_a,v127,v128,grote_supermarkt_gemiddelde_afst,grote_supermarkt_gemiddeld_aanta,v131,v132,winkels_ov_dagelijkse_levensm_ge,winkels_ov_dagel_levensm_gem_aan,v135,v136,warenhuis_gemiddelde_afstand_in_,warenhuis_gemiddeld_aantal_binne,v139,v140,cafe_gemiddelde_afstand_in_km,cafe_gemiddeld_aantal_binnen_1_k,cafe_gemiddeld_aantal_binnen_3_k,cafe_gemiddeld_aantal_binnen_5_k,cafetaria_gemiddelde_afstand_in_,cafetaria_gemiddeld_aantal_binne,v147,v148,restaurant_gemiddelde_afstand_in,restaurant_gemiddeld_aantal_binn,v151,v152,hotel_gemiddelde_afstand_in_km,hotel_gemiddeld_aantal_binnen_5_,hotel_gemiddeld_aantal_binnen_10,hotel_gemiddeld_aantal_binnen_20,kinderdagverblijf_gemiddelde_afs,kinderdagverblijf_gemiddeld_aant,v159,v160,buitenschoolse_opvang_gem_afstan,buitenschoolse_opvang_gemiddeld_,v163,v164,basisonderwijs_gemiddelde_afstan,basisonderwijs_gemiddeld_aantal_,v167,v168,voortgezet_onderwijs_gem_afstand,voortgezet_onderwijs_gemiddeld_a,v171,v172,vmbo_gemiddelde_afstand_in_km,vmbo_gemiddeld_aantal_binnen_3_k,vmbo_gemiddeld_aantal_binnen_5_k,vmbo_gemiddeld_aantal_binnen_10_,havo_vwo_gemiddelde_afstand_in_k,havo_vwo_gemiddeld_aantal_binnen,v179,v180,brandweerkazerne_gemiddelde_afst,oprit_hoofdverkeersweg_gemiddeld,treinstation_gemiddelde_afstand_,overstapstation_gemiddelde_afsta,zwembad_gemiddelde_afstand_in_km,kunstijsbaan_gemiddelde_afstand_,bibliotheek_gemiddelde_afstand_i,poppodium_gemiddelde_afstand_in_,bioscoop_gemiddelde_afstand_in_k,bioscoop_gemiddeld_aantal_binnen,v191,v192,sauna_gemiddelde_afstand_in_km,zonnebank_gemiddelde_afstand_in_,attractiepark_gemiddelde_afstand,attractiepark_gemiddeld_aantal_b,v197,v198,theater_gemiddelde_afstand_in_km,theater_gemiddeld_aantal_binnen_,v201,v202,gemiddelde_afstand_tot_museum,gemiddeld_aantal_musea_binnen_5_,gemiddeld_aantal_musea_binnen_10,gemiddeld_aantal_musea_binnen_20,jrstatcode,jaar,leefbarometer,afw,fysiekeomgeving,overlastonveiligheid,socialesamenhang,voorzieningen,v215,ervarengezondheidgoedzeergoed_4,hoogrisicoopangstofdepressie_25,heelveelstressinafgelopen4weken_,eenofmeerlangdurigeaandoeningen_,beperktvanwegegezondheid_17,ernstigbeperktvanwegegezondheid_,langdurigeziekteenbeperkt_19,overgewicht_9,roker_11,voldoetaanalcoholrichtlijn_12,ernstigzeerernstigeenzaam_28,bevolkingsdichtheid,percentage_65plus,percentage_1perHH,percentage_koop,netto_arbeidspa,percentage_niet_w,percentage_migr_w,percentage_hoogOpg,percentage_bijst,percentage_ww,percentage_ao,percentage_mannen,risk_depression,high_stress,perceived_health,chronic_disease,stedelijkheid_adressen_per_km2_n,bevolkingsdichtheid_n,percentage_mannen_n,percentage_gehuwd_n,percentage_65plus_n,geboortes_per_1000_inwoners_n,percentage_1perHH_n,gemiddelde_woningwaarde_n,percentage_hoogOpg_n,percentage_koop_n,percentage_bijst_n,percentage_ww_n,percentage_ao_n,netto_arbeidspa_n,percentage_HH120_n,percentage_niet_w_n,percentage_migr_w_n,missing_indicator,residuals_dep,z_scores_dep,residuals_stress,z_scores_stress,residuals_health,z_scores_health,residuals_chronic,z_scores_chronic,orig_order,z_scores_health_id,z_scores_dep_id,z_scores_stress_id,z_scores_chronic_id
BU01530405,Voortman-Amelink,WK015304,GM0153,Enschede,1,NEE,7523,3,1795,2,1269,1230,620,615,10,9,21,35,26,55,31,7,7,5,3,40,32,445,37,36,27,"2,0",11,10,2,0,1,4,4,0,10,15,5,5,15,35,15,100,514,255,77,23,92,46,54,36,18,0,78,22,8,1260,520,1190,1360,1670,1930,1050,1500,3080,2970,2620,2830,3480,4260,2890,3290,240,340,380,58,85,15,700,,,49,13,51,14,11,11,320,10,40,300,"-99999999,0","17,2","22,9",22.9,"32,6",35,"16,4",400,325,500,"1,1",515,45,435,65,97,97,0,"1,3","0,1","9,7","21,8","3,1","1,2","3,1","2,0","3,0","5,0","3,1","1,0","1,0","2,0","1,1","0,9","12,8","32,2","1,1","3,1","53,2","94,0","1,8","3,0","9,0","13,0","1,1","1,0","37,0","56,9","0,7","3,2","60,6","106,7","1,2","0,8","74,4","131,1","1,8","7,3","15,4","36,4","0,6","2,7","19,5","43,7","0,9","2,7","19,8","35,1","0,9","2,3","14,5","27,6","0,9","3,0","11,5","25,1","0,9","2,0","10,5","22,3","2,0","1,0","3,9","10,5","1,6","1,0","2,4","2,4","2,2","6,3","1,3","9,4","2,5","2,0","4,0","4,0","7,7","1,7","4,0","3,9","5,0","15,8","2,3","6,0","9,9","11,0","1,4","2,0","5,7","12,0",2020BU01530405,2020,"4,14461616828051","4,23513171368291e-02","-4,96357901639682e-03","5,25288359851626e-03","1,55789669481722e-02","2,13327342273293e-02","5,15031137920782e-03",    63.8,     5.3,     6.3,48.099998,52.599998,10.8,50.099998,    60.7,    10.0,"52,3","11,4",1269,26,37,46,58,10,11,19.512196,3.2520325,.81300813,26.01626,50.406506,5.3,6.3,63.8,10.8,-.52059752,-.99096483,.42644677,-.85435915,.76726258,-1.5895689,.04518903,-.15093586,-.34856093,-.63081712,.36336142,-1.1816655,10.527881,-1.4559102,1.3513826,-.2152905,.078980632,0,-2.0872574,-2.1399817,-2.6602666,-2.9766006,7.7137938,2.3662059,-2.6873403,-2.450001,431,50,62,10,33
BU03010203,Voorsteralleekwartier,WK030102,GM0301,Zutphen,1,NEE,7203,1,1010,3,1297,1605,835,775,16,15,33,21,15,49,42,6,3,20,11,15,7,530,42,29,29,"2,0",8,40,1,1,1,4,34,0,10,5,5,5,15,25,10,80,589,182,48,52,88,47,53,41,12,0,100,0,12,1230,970,1300,1560,1390,1830,970,1450,2410,1840,2640,2940,2740,3870,1890,2870,340,440,500,62,85,15,900,,,44,15,46,16,11,14,60,10,80,210,"-99999999,0","17,2","19,8",19.8,"38,7",35,"8,3",65,40,495,"0,9",399,35,425,70,124,124,0,"0,6","1,0","4,6","12,0","3,7","1,7","3,7","1,0","1,0","4,0","3,7","1,0","1,0","2,0","0,8","0,9","9,8","14,6","0,8","1,3","42,4","51,0","2,5","2,0","4,0","13,7","2,1","0,0","17,2","20,0","0,6","1,4","31,9","39,0","1,6","0,0","44,6","50,0","2,8","2,0","6,6","44,6","0,6","1,9","16,5","27,5","0,6","1,9","14,5","29,5","1,1","0,4","8,2","19,4","0,6","6,0","8,0","9,4","0,6","6,0","8,0","9,4","1,9","4,0","5,0","5,0","1,9","0,2","2,4","2,4","3,4","15,3","2,5","14,6","2,1","2,0","2,0","4,0","5,5","2,7","2,2","1,0","3,0","32,0","1,7","1,0","1,0","7,0","2,6","3,0","4,0","9,8",2020BU03010203,2020,"4,03121899543078","-7,10458557129062e-02","-2,20301833724384e-02","-1,77803550530618e-02","6,78828170668027e-03","-3,21799413951688e-02","-5,84365759891772e-03",    75.1,     3.0,     5.2,45.799999,43,6.6999998,40.599998,    54.4,     8.2,"52,4","8,2",1297,15,42,47,62,40,8,21.1838,4.9844236,.62305295,3.7383177,52.024921,3,5.2,75.09999999999999,6.6999998,.21870868,-.98449641,1.2293191,.37603635,-.57616758,.30603889,.41056648,-.79412007,-.20357242,-.58310324,1.0922849,-1.5627916,-.24493918,-.90049362,.95556158,2.0658038,-.43474296,0,-3.0138161,-3.0899453,-2.9195049,-3.2666652,13.441615,4.1232152,-2.6214333,-2.3899148,1185,3,3,5,43
BU03070601,Meridiaan,WK030706,GM0307,Amersfoort,1,NEE,3813,1,3039,1,5610,1665,830,835,19,12,34,25,10,55,33,9,3,25,14,10,4,750,41,23,37,"2,2",7,44,15,2,1,13,13,0,10,20,15,0,30,35,15,115,754,238,19,81,96,31,69,66,3,0,57,43,4,760,700,960,1160,1090,,760,760,2180,2010,2950,2930,2760,,1980,2640,440,490,470,66,87,13,1300,,,46,15,51,13,15,16,130,30,110,150,"-99999999,0","20,2","24,2",24.2,"5,6",40,"8,5",150,90,565,"0,8",1906,25,440,125,31,30,2,"0,3","1,1","12,3","19,1","1,8","0,3","1,8","1,0","3,1","14,7","1,8","1,0","1,0","6,7","0,9","0,7","28,8","37,5","0,3","4,5","91,8","125,7","1,8","3,0","8,0","25,0","0,3","2,6","47,0","52,3","0,3","4,1","95,7","119,0","1,0","1,9","138,0","156,1","1,4","11,1","18,0","47,4","0,3","1,7","31,7","65,8","0,3","1,7","27,8","61,8","0,3","1,2","21,9","39,8","0,3","16,3","19,1","28,7","0,3","13,5","15,1","23,7","0,7","9,3","12,1","18,9","0,9","2,2","2,5","2,5","2,7","25,4","1,0","1,5","1,5","2,0","2,0","5,0","2,0","1,8","4,2","1,0","3,0","45,3","1,5","5,0","7,0","15,0","1,3","5,0","6,1","18,9",2020BU03070601,2020,"3,97222695521350","-1,30037895930187e-01","-2,01242706189400e-02","-1,48727358638096e-01","-5,22085411768592e-02","1,28431599396773e-01","-3,74093248930653e-02",    61.4,     5.4,     6.9,50.599998,48.700001,9.8999996,46.299999,    63.7,    12.1,"56,7","12,5",5610,10,41,31,66,44,7,26.426426,6.6066065,1.8018018,7.8078079,49.84985,5.4,6.9,61.4,9.8999996,-1.2599037,.011867112,.15029795,-.63065088,-1.1868176,1.0168918,.33749101,-.30071849,.25115278,-1.3465247,1.7748371,.80225015,1.7229214,-.34507707,1.517372,2.3699498,-.60598415,0,-2.0005512,-2.0510852,-2.7617567,-3.0901589,3.44208,1.0558579,-1.0319886,-.94084591,1229,680,74,7,814
BU03440121,Lombok-Oost,WK034401,GM0344,Utrecht,1,NEE,3531,1,4691,1,17630,2285,1110,1180,6,19,54,13,8,75,18,4,2,25,11,10,3,1475,63,25,12,"1,6",14,29,10,1,2,9,7,0,20,85,40,10,80,45,85,365,1112,267,33,67,94,28,70,29,41,1,82,18,6,880,790,1050,1080,,,900,830,1990,1850,2250,2490,,,2020,1940,1270,550,230,74,88,12,2000,,,40,22,57,13,9,9,90,30,70,180,"-99999999,0","12,1","14,4",14.4,"2,7",30,"8,0",110,48,460,"0,3",3561,50,370,95,13,13,0,"0,5","1,5","18,6","47,6","3,7","0,5","3,6","3,0","7,0","11,0","3,6","2,0","6,0","9,0","0,2","8,4","43,1","77,0","0,1","46,1","198,9","299,6","0,8","9,0","17,0","29,4","0,2","6,6","101,6","113,4","0,1","33,8","247,0","321,8","0,1","41,0","392,5","457,5","0,4","31,0","37,0","69,4","0,4","9,9","93,8","176,2","0,4","6,4","60,5","128,3","0,4","3,2","31,8","83,1","0,6","8,6","19,0","30,3","1,0","4,6","12,0","21,5","0,7","6,0","11,0","18,2","2,3","2,7","1,2","1,2","2,2","4,9","1,7","1,3","1,1","7,0","8,0","13,0","2,0","0,3","2,5","5,0","10,0","52,1","1,0","8,0","10,0","20,0","1,3","10,0","14,8","27,0",2020BU03440121,2020,"4,03156552275573","-7,06993283879538e-02","-7,03833179260508e-02","-2,03938292854581e-01","-7,55424424965629e-02","2,86394348415277e-01","-7,22962352603668e-03",    43.6,    12.2,    14.5,57.099998,59.700001,14.5,56.5,    68.0,    14.0,"79,0","17,0",17630,8,63,28,74,29,14,55.579868,3.0634573,1.3129103,3.938731,48.577679,12.2,14.5,43.6,14.5,-1.2599037,2.7886558,-.48080739,-2.3084629,-1.4310776,.30603889,1.9451518,-.045206938,2.7798102,-1.4896662,.28401619,-.17866173,-.14802647,.76575607,.26606694,1.2294025,.59270424,0,6.2958879,6.4549227,4.8973932,5.4797454,-18.526642,-5.6830468,5.4121742,4.9341841,1400,5226,5221,5220,5225
BU03620903,In de Wolkenbuurt,WK036209,GM0362,Amstelveen,1,NEE,1186,1,2608,1,6926,1060,475,590,14,12,24,22,28,49,35,8,8,5,4,15,12,575,56,23,22,"1,8",19,31,0,1,3,3,23,0,10,20,10,10,35,15,10,110,625,307,32,68,95,34,66,42,24,0,80,20,5,1080,820,1360,1940,,2630,860,1500,2240,1770,3100,3200,,4370,1880,2960,280,260,210,60,82,18,800,,,38,27,50,18,8,9,80,0,30,280,"-99999999,0","13,2","15,3",15.3,"38,1",15,"6,2",,,385,"0,7",2499,15,330,55,16,15,1,"1,4","0,0","8,1","19,7","0,7","0,7","0,7","1,0","4,0","12,5","0,7","1,0","3,0","8,5","0,6","2,5","12,0","25,0","0,6","4,5","51,3","96,8","2,5","2,0","9,8","36,8","1,7","0,0","2,3","12,2","0,6","1,8","33,9","52,5","0,7","1,0","45,5","106,5","0,7","10,2","180,0","496,2","0,4","3,5","26,3","55,0","0,4","1,9","19,1","46,9","0,3","2,0","11,5","24,0","1,8","3,8","6,8","43,5","1,8","3,0","5,8","30,4","1,8","2,8","5,1","29,3","2,0","1,1","6,7","6,7","1,8","12,0","2,5","2,5","7,0","0,0","4,0","15,8","3,0","1,7","6,4","4,0","10,0","57,0","2,5","4,0","20,7","58,0","2,7","3,0","9,9","55,0",2020BU03620903,2020,"4,07672729503963","-2,55375561040547e-02","1,74882402566038e-02","-3,18992743503964e-02","-5,72855439311919e-02","8,23702066299104e-02","-3,62111847089807e-02",    63.9,     3.9,     6.3,47.900002,52.200001,10.1,48,    53.5,     9.2,"57,0","10,8",6926,28,56,34,60,31,19,26.415094,2.8301888,0,7.5471697,44.811321,3.9,6.3,63.9,10.1,-1.2599037,.31588158,-2.349242,-.40694261,1.0115225,-1.3526179,1.4336233,.30722278,.25016993,-1.2033832,.18586579,-2.812885,1.596886,-1.1782019,.3809827,1.3814756,1.4489102,0,-2.1119518,-2.1652999,-2.6694353,-2.9868596,4.8667049,1.4928616,-.40994412,-.37373886,1608,262,55,9,1828
BU03630702,Leidsebuurt Noordoost,WK036307,GM0363,Amsterdam,1,NEE,1017,1,9271,1,18717,1010,505,500,5,20,53,15,7,80,14,5,1,5,6,5,5,700,66,27,7,"1,4",38,19,0,1,1,2,14,0,15,175,45,30,105,20,75,465,719,512,6,94,79,27,72,0,71,1,98,2,21,920,880,1630,,,,870,1070,1960,1870,3300,,,,1800,2360,550,270,110,76,78,22,900,,,37,28,51,14,9,9,10,20,10,60,"-99999999,0","10,3","13,7",13.7,"6,6",,"-99999999,0",15,15,180,"0,3",3324,30,145,30,6,5,1,"0,4","7,4","74,3","132,6","2,5","0,3","1,2","4,0","7,2","13,0","2,5","3,0","6,2","10,0","0,5","9,7","96,4","163,0","0,1","78,4","727,6","1026,0","1,1","16,0","26,0","44,9","0,0","90,6","594,6","701,0","0,0","92,8","753,2","1005,0","0,0","252,6","1522,0","1897,0","0,1","389,6","445,2","520,5","0,5","9,2","203,8","365,8","0,6","4,2","82,1","185,8","0,6","3,5","50,5","110,1","0,3","23,1","43,9","77,3","1,1","13,0","27,8","55,3","0,3","19,1","31,8","49,3","0,9","3,1","2,3","2,3","0,7","5,5","1,5","0,3","0,2","11,0","13,0","19,0","0,9","0,1","1,9","6,0","12,7","59,0","0,2","37,0","52,0","64,0","0,2","42,4","50,0","69,0",2020BU03630702,2020,"4,54989625605936","4,47631404915675e-01","4,86644206271601e-03","-1,44127909349865e-01","-5,34865834324660e-02","6,53417530663268e-01","-1,30380750279786e-02",    72.7,     3.8,     6.9,41.299999,39.099998,6.6999998,35.5,    42.1,    18.8,"40,6","12,4",18717,7,66,27,76,19,38,54.455444,.99009901,1.980198,.99009901,50,3.8,6.9,72.7,6.6999998,-1.2599037,3.0397682,.22478531,-2.7558794,-1.5532076,-.87871599,2.1643782,2.113425,2.682282,-1.53738,-.58837318,1.1601844,-1.57388,1.0434644,.176688,.4690378,4.7024932,0,-2.3434856,-2.4026823,-3.343828,-3.7414448,11.273059,3.4580104,-2.5865979,-2.358156,1646,7,34,1,46
BU03633702,Bosleeuw,WK036337,GM0363,Amsterdam,1,NEE,1055,1,6223,1,16875,5755,2780,2970,15,16,39,22,8,65,27,7,2,65,12,30,5,2950,51,22,28,"1,9",17,53,21,1,4,16,11,0,75,100,110,25,215,115,170,815,2739,329,3,97,96,27,73,51,22,0,94,6,4,760,770,90,200,,,760,740,1890,1860,2720,2840,,,1840,2010,1930,1250,1520,64,82,18,4500,30,24,47,17,55,12,14,15,260,100,380,430,"26,3","18,7","22,2",22.2,"3,2",105,"7,0",445,77,1145,"0,4",3358,95,900,245,34,34,0,"0,5","6,2","37,3","90,7","1,7","0,5","1,7","2,0","6,3","17,0","1,7","1,0","5,3","12,0","0,3","8,0","45,0","106,8","0,2","32,7","242,3","764,1","2,1","12,2","25,0","48,7","0,3","9,1","138,7","589,7","0,2","23,0","205,5","775,7","0,2","25,6","337,3","1448,0","0,3","319,6","441,8","520,2","0,2","15,1","110,8","238,4","0,3","5,2","57,5","116,9","0,3","6,4","36,0","75,5","0,7","8,2","22,7","75,1","0,7","8,0","16,2","52,5","1,7","4,1","15,3","46,1","1,5","0,5","2,0","2,0","1,4","9,2","0,5","3,6","2,2","9,1","14,0","18,1","2,9","0,7","1,4","5,0","14,4","57,9","0,5","27,9","49,0","63,7","2,4","30,7","49,7","70,3",2020BU03633702,2020,"4,04623507618290","-5,60297749607860e-02","-4,61780447681756e-02","-1,44246762253197e-01","-1,18313648645423e-01","3,74592945860560e-01","-1,21884265154550e-01",    47.2,    13.8,    15.7,54.400002,56.900002,13.7,52.400002,    66.7,    15.9,"73,8","18,8",16875,8,51,27,64,53,17,33.536057,6.6029539,1.7376195,4.5178108,48.30582,13.8,15.7,47.2,13.7,-1.2599037,2.6142402,-.61567229,-1.3017757,-1.4310776,.54298985,1.0682459,.50105911,.86781478,-1.53738,1.7733003,.67347485,.13199595,-.62278539,1.2620037,3.0542781,1.1064278,0,5.7769294,5.9228549,4.6966581,5.2551408,-9.4020596,-2.8840814,3.0747173,2.8031657,1727,5190,5218,5217,5178
BU03633802,Erasmusparkbuurt West,WK036338,GM0363,Amsterdam,1,NEE,1055,1,8268,1,13764,4080,1960,2120,11,11,52,18,8,72,20,6,2,70,17,10,3,2370,53,28,19,"1,7",23,28,8,1,3,7,9,0,50,90,75,20,205,130,170,745,2159,348,0,100,96,48,51,11,40,1,89,11,4,810,810,,,,,870,760,1760,1760,,,,,1750,1770,2280,800,460,77,81,19,3400,39,33,30,30,42,17,7,7,110,90,100,300,"-99999999,0","9,6","12,3",12.3,"29,8",50,"6,8",180,44,870,"0,4",2942,95,715,160,34,30,4,"0,2","8,9","42,4","95,3","1,6","0,4","1,6","2,1","6,0","16,8","1,6","1,1","5,0","11,8","0,3","8,3","51,9","115,2","0,2","38,9","297,6","815,5","2,0","13,9","25,0","48,5","0,3","17,1","176,8","616,8","0,2","30,3","250,1","825,9","0,2","32,6","466,4","1536,0","0,6","345,3","442,0","520,4","0,2","17,8","131,4","255,1","0,3","6,5","64,1","125,3","0,3","6,5","39,4","81,2","0,4","9,5","28,9","74,8","0,4","8,5","19,4","52,8","1,3","5,1","20,1","46,0","1,6","0,6","2,4","2,4","1,1","8,8","0,4","3,2","2,3","9,7","14,0","17,2","2,5","0,7","1,1","4,2","14,0","58,2","0,5","29,3","49,0","63,0","2,3","33,5","50,0","69,8",2020BU03633802,2020,"4,18478375252272","8,25189013790377e-02","-2,17564039507562e-02","-9,21955902560707e-02","-9,37040686740090e-02","3,96171824613605e-01","-1,05996860353731e-01",    52.5,    10.5,    14.4,50.700001,53.299999,12.1,49,    61.2,    16.2,"63,7","18,3",13764,8,53,48,77,28,23,55.882355,2.4509804,2.2058823,2.6960785,48.039215,10.5,14.4,52.5,12.1,-1.2599037,1.8955556,-.7479313,-2.0847547,-1.4310776,1.7277447,1.2143968,.66846323,2.8060467,-.53538942,.026309505,1.6129973,-.74892896,1.1823184,-.0020698805,1.1533661,2.1338749,0,4.5388556,4.6535072,4.7903881,5.3600163,-9.7923174,-3.003793,2.9879758,2.7240851,1732,5201,5214,5219,5171
BU03633903,Kolenkitbuurt Noord,WK036339,GM0363,Amsterdam,1,NEE,1061,1,5634,1,13994,4155,2130,2030,21,14,38,21,6,62,30,7,1,70,18,10,3,1790,42,21,37,"2,3",10,75,37,1,5,20,12,0,45,35,95,10,85,40,70,375,1862,301,6,94,85,10,82,65,17,8,56,44,15,490,520,130,1330,,,550,410,2170,2080,3490,1380,,,1960,2260,1380,900,1200,61,85,15,3100,26,20,53,13,53,9,19,20,220,70,420,240,"-99999999,0","24,9","29,6",29.6,"1,2",130,"9,7",280,67,835,"0,5",2808,30,560,275,30,30,0,"0,4","3,8","31,7","82,9","1,4","0,6","1,4","2,4","6,0","15,8","1,4","1,4","5,0","11,8","0,5","6,8","35,7","98,8","0,3","26,3","179,4","695,9","1,5","11,4","25,0","49,0","0,6","4,6","95,7","486,8","0,2","13,6","149,8","672,4","0,3","17,6","197,7","1206,0","0,4","267,5","441,0","519,8","0,2","11,5","97,1","224,9","0,3","5,0","50,2","109,8","0,2","6,7","33,1","71,5","1,2","8,0","19,6","72,3","1,2","7,4","14,6","50,7","1,8","4,0","12,6","44,9","2,0","0,5","2,2","2,2","1,5","9,7","0,9","4,1","2,8","8,5","14,0","17,3","3,4","1,3","1,5","4,7","15,0","58,0","1,1","25,8","49,0","63,8","1,9","25,2","49,5","70,0",2020BU03633903,2020,"3,91199673229602","-1,90268118847662e-01","-5,50960011660930e-02","-1,91706733209114e-01","-1,09824451994792e-01","3,48002786428223e-01","-1,81643718905886e-01",    43.1,    16.2,    18.3,56.200001,57.200001,14.1,52.299999,    69.4,    14.8,"82,8","19,1",13994,6,42,10,61,75,10,33.212997,10.108303,1.6847172,5.2948256,51.263538,16.2,18.3,43.1,14.1,-1.2599037,1.9486887,.85160816,-.96621329,-1.6753377,1.9646957,.41056648,.25435832,.83979386,-2.3485153,3.2482164,.56733155,.50773263,-1.0393478,2.2068667,4.7270803,-.092260562,0,6.5720482,6.7380586,6.4572206,7.2250528,-9.858242,-3.0240154,2.4292774,2.2147295,1737,5205,5223,5225,5095
BU03840502,Holland Park,WK038405,GM0384,Diemen,1,NEE,1112,1,3310,1,10533,1905,1030,880,8,13,63,12,4,70,24,5,1,40,20,5,3,1150,47,39,14,"1,7",27,34,2,2,8,2,22,0,20,25,25,10,60,25,30,190,1068,318,0,100,88,48,51,0,51,1,0,100,12,,,,,,,,,1900,1900,,,,,1900,1890,1320,580,140,83,90,10,1600,,,16,39,28,20,2,2,10,30,0,70,"-99999999,0","2,0","2,0",2,"25,3",10,"3,7",10,5,465,"0,4",2567,30,385,80,18,18,0,"1,5","0,0","17,7","25,5","5,6","1,3","5,6","0,0","6,0","12,0","5,6","0,0","4,0","7,0","1,3","0,0","6,9","16,7","1,3","0,0","34,1","98,4","3,5","2,0","22,0","38,2","1,1","0,3","6,8","18,7","1,2","0,0","37,5","95,0","1,2","0,0","33,5","95,7","1,4","16,0","381,9","488,8","1,2","0,1","31,1","60,5","1,2","0,0","20,3","42,3","1,2","0,1","15,6","30,1","1,6","3,0","6,3","49,9","1,6","3,0","5,4","34,9","1,6","2,0","2,6","33,9","3,2","2,8","1,9","8,7","2,2","4,8","3,2","8,6","4,0","1,0","8,3","16,0","6,1","2,9","2,1","6,0","11,0","54,0","2,8","5,0","37,4","56,0","4,5","1,0","44,0","57,0",2020BU03840502,2020,"3,96811533143419","-1,34149519709491e-01","-3,32238129947118e-02","-4,17257827224741e-02","-1,84180557951282e-02","5,45838705885970e-02","-9,53657387857742e-02",    78.1,     2.2,     5.8,46,37.200001,4.1999998,34.900002,    50.2,    10.5,"42,9","8,7",10533,4,47,48,83,34,27,69.291336,0,1.5748031,.52493441,54.068241,2.2,5.8,78.09999999999999,4.1999998,-1.2599037,1.1491492,2.24298,-1.6373382,-1.9195977,2.4385977,.77594393,.40414095,3.96909,-.53538942,-1.0049688,.3468,-1.7988169,2.0154433,-1.3172171,1.6095849,2.8188398,0,-2.8588471,-2.9310617,-3.1318405,-3.5042498,11.532489,3.5375905,-2.8786509,-2.6244154,1982,6,6,3,21
